23404033
/m/06w9j6n
/m/06w9j6n
Stieg Larsson
2007
{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/0lsxr": "Crime Fiction"}
12 1
15 1
800000 1
a 31
abandoned 1
about 5
above 1
abroad 1
abruptly 1
accepted 1
access 1
accessible 1
acting 1
action 1
affair 2
after 5
again 1
against 3
age 1
aggravated 1
agree 2
agreeing 1
alert 1
all 3
allegations 1
alliance 1
allies 1
allowing 1
along 1
already 1
also 4
among 1
an 8
and 63
anders 1
andersson 1
annika 2
anonymous 1
any 1
apartment 3
apologizes 1
approaches 1
approve 1
are 6
armansky 4
arms 1
arranges 2
arrest 2
arrested 2
as 12
asks 2
assessment 1
assist 1
assistant 1
associate 1
asylum 1
at 13
attention 1
august 1
author 1
away 2
axe 1
back 2
bad 1
be 3
beckman 2
become 1
bed 1
been 3
before 2
begins 3
being 1
berger 15
biker 1
bikers 2
billions 1
bjrck 1
blomkvist 22
book 1
bookandmagazine 1
borgsj 5
boss 1
botched 1
both 3
brawl 1
breaks 1
brief 1
brought 1
bugs 1
burgle 1
business 1
but 2
by 11
byline 1
calling 1
calm 1
cameras 1
camilla 1
campaign 2
can 1
cancer 1
capture 1
care 1
carjacking 1
case 1
cellular 1
central 1
ceo 1
channel 1
charges 2
chase 1
chief 1
child 2
citizen 1
claiming 1
clandestine 1
classified 1
classmate 1
clear 1
clinton 2
club 1
cocaine 1
commit 1
commits 1
company 1
complications 1
computer 3
concludes 1
confidential 1
confirms 1
confront 1
confronts 1
conspired 1
conspiring 1
constitutional 4
contacts 1
contains 1
continue 1
continues 1
convinces 2
copies 1
copy 2
cortez 3
counterintelligence 1
countersurveillance 2
counts 1
cover 1
created 1
credibility 2
culprit 1
custody 1
daily 1
danger 1
daughter 1
day 4
days 1
dead 1
deadlinehe 1
dealer 1
decade 1
declaration 1
defection 1
defense 1
deflect 1
delay 1
destroy 1
destroys 1
detected 1
determine 1
director 1
disappearing 1
discovers 2
disinformation 1
division 1
doctor 1
doctors 1
down 1
dr 2
dragan 1
dragon 1
drops 1
drudgery 1
drug 1
dual 1
duct 1
during 1
easily 1
editorinchief 1
edklinth 5
ekstrm 2
ekstrom 1
elite 1
emails 1
embarks 1
employee 1
ends 1
enforcement 1
engages 2
entire 1
erika 2
escalate 1
escape 1
estate 1
even 1
events 3
evert 1
evidence 2
examination 1
expos 3
fabricated 1
fact 1
factory 1
fake 1
false 1
father 1
feeding 1
feet 1
fictional 1
figuerola 6
file 1
finally 1
findings 1
finds 1
fire 1
firm 1
first 1
floor 1
flown 1
for 9
forced 1
forget 1
form 1
former 5
found 1
founder 1
frame 1
frederik 1
fredriksson 4
freed 1
friends 2
from 13
full 1
further 1
gang 1
giannini 4
gibraltar 1
girl 2
gives 1
goes 2
going 1
government 1
gracefully 1
granting 1
graphic 1
gregor 1
group 1
guard 1
gullberg 2
gun 1
gunnar 1
hacker 2
had 6
half 2
handheld 1
handle 1
handled 1
hanserik 1
has 3
have 3
having 1
he 1
head 3
heard 1
help 2
helps 1
henry 1
her 23
herself 1
hiding 1
high 2
him 4
hire 1
hired 1
hires 1
his 14
hitmen 1
home 2
homes 1
hospital 4
hotspot 1
hourlong 1
however 2
husband 1
idea 1
identified 1
identity 1
if 1
immediate 1
in 18
incompetence 1
indicate 1
information 2
informs 1
inherit 1
initiative 1
injured 1
installed 1
instead 2
institutionalized 1
intends 1
intensive 1
intention 1
international 1
internet 1
intervention 1
interviews 1
into 2
intuits 1
investigate 2
investigation 2
invite 1
involves 1
is 20
issue 1
it 2
its 2
job 1
joint 1
jonasson 2
july 1
junior 3
justice 2
kidnapping 1
kill 1
killed 1
kills 1
knows 1
kronor 1
labour 1
lack 1
largest 1
larsson 1
later 1
latter 2
law 2
lawyer 1
leading 1
leaves 2
left 1
legal 1
legally 1
letters 1
life 1
linder 2
lisbeth 1
local 1
location 1
long 1
lose 1
love 1
luck 1
made 1
mafia 1
magnus 1
