1484249
/m/0552qs
/m/0552qs
Kenzaburō Ōe
1964

28 1
28yearold 1
a 20
about 3
accuses 1
across 1
afraid 1
after 1
aged 1
aghwee 9
all 2
an 2
and 11
anonymous 1
answer 1
apparently 1
are 1
arms 1
around 1
as 8
asks 1
assailants 1
associating 1
at 1
attack 2
attacked 1
baby 1
be 4
became 1
because 2
begins 1
being 1
believe 1
benign 1
big 1
blurred 1
born 1
both 1
box 1
brain 1
buries 1
burns 1
but 2
by 4
cannot 1
child 1
children 3
christmas 1
city 1
coda 1
comes 1
companion 1
composer 1
compositions 1
contains 1
cotton 1
cover 1
cried 1
crisis 1
cross 1
d 20
death 2
decade 1
dogs 1
down 1
dying 1
earlier 1
end 1
enjoyed 1
essence 1
estranged 1
eve 1
events 1
experience 1
eye 1
eyes 1
fat 1
feels 1
figures 3
filled 1
fleeing 1
floating 1
for 1
former 1
freed 1
friendly 1
frightened 1
from 2
front 1
gentle 1
gentleness 1
girlfriend 1
gives 1
goes 1
gone 1
gratuitous 1
group 2
had 8
hand 1
has 1
hated 1
hatred 1
he 18
her 1
hernia 1
him 9
himself 2
his 11
hospital 1
however 1
i 1
if 2
imagines 1
in 10
incident 1
increasing 1
infant 1
inform 1
injured 1
interact 1
intervening 1
is 8
it 1
kangaroo 1
key 1
killed 1
knew 1
knows 1
later 1
leaving 1
lies 1
living 2
longer 3
lost 1
mad 1
made 1
man 1
matters 1
mdash 2
memory 1
merely 1
mischief 1
missed 1
mocking 1
more 1
narrator 12
nearblindness 1
nightgown 1
no 3
number 1
of 22
on 2
one 1
only 1
opens 1
or 1
out 5
outside 1
over 1
own 1
pack 1
panics 1
people 1
perception 1
person 1
place 1
places 1
present 2
prevent 1
previously 1
prompted 1
reach 1
reaches 1
reality 1
recent 1
refuses 1
remember 1
rescue 1
result 1
returning 1
returns 1
road 1
sacrifice 1
said 1
saying 2
says 3
see 1
sees 1
sending 1
sensed 1
she 1
shoulder 1
simply 1
sky 5
smiles 1
something 1
son 3
spirit 2
spoken 1
started 2
starving 1
stones 1
stopped 1
story 2
suicide 1
superimposed 1
swoops 1
taken 1
takes 1
talking 3
talks 1
tell 1
tells 1
ten 1
that 7
the 42
their 1
then 2
think 1
those 2
throw 1
thrust 1
time 1
to 22
told 1
took 1
trying 1
tumour 1
turned 1
turns 1
two 1
unaccountably 1
unlock 1
until 1
up 1
various 1
vision 1
visited 1
waiting 1
was 4
well 1
were 1
when 3
where 1
whether 1
which 6
while 3
white 1
who 5
whom 1
wife 2
will 1
with 5
word 1
worked 1
world 1
worlds 1
year 1
years 1
