5395471
/m/0djxtf
/m/0djxtf
Dale Peck
2005
{"/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature"}
11 1
a 7
about 1
adventure 1
after 1
along 1
an 1
and 7
are 1
ashore 1
attack 1
bay 2
becomes 1
been 1
bizarre 1
bought 1
by 1
canada 1
carried 1
charles 2
children 3
city 1
come 1
comical 1
converge 1
could 1
discover 2
distracted 1
drift 1
drifted 1
embark 1
eternity 1
evil 1
explore 1
farley 3
find 1
flood 1
future 1
has 3
he 1
home 3
house 4
immediately 1
in 1
into 1
itself 1
later 1
live 1
meet 1
mermaids 1
morning 1
murray 2
named 2
nervous 1
new 1
oakenfeld 1
odd 1
of 4
oldtime 1
on 3
one 1
out 1
parrot 1
past 1
pirates 1
place 1
plot 1
predictions 1
present 1
president 2
question 1
raised 1
recently 1
resembles 1
sea 1
secret 1
sent 1
ship 1
shiplike 1
stop 1
strange 2
susan 2
talkative 1
that 1
the 12
their 2
they 4
things 1
three 1
time 1
timenbsp 1
to 3
uncle 3
up 1
very 1
wake 1
washed 1
whale 1
when 1
where 3
wilson 2
wise 1
with 2
york 1
