8726661
/m/027gh2g
/m/027gh2g
Georgette Heyer
1963
{"/m/02n4kr": "Mystery", "/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel", "/m/0c3351": "Suspense"}
a 3
able 1
actually 1
although 1
and 2
any 1
appearance 1
as 1
autocratic 1
be 1
betrothal 1
both 1
brother 2
brothers 1
but 1
by 1
can 1
careful 1
chosen 1
comes 2
countryside 1
cressy 2
deception 1
decides 1
deduction 1
diplomatic 1
disappeared 1
discloses 1
disguise 1
doesnt 1
dreams 1
each 1
england 1
evelyn 7
eventually 1
fallen 1
family 2
fancot 2
fantastical 1
find 1
from 1
get 1
grandmother 2
happened 1
has 3
have 1
he 3
helps 1
her 1
him 2
his 4
home 4
however 1
idea 1
impersonate 1
in 5
indefinitely 1
is 4
kit 5
lady 3
love 1
make 1
meet 1
met 1
normally 1
not 1
obliged 1
of 5
other 1
out 1
problem 1
proposed 1
reappear 1
retire 1
returns 1
save 1
scandal 1
service 1
she 1
stay 1
supposed 1
sure 1
tale 1
that 4
the 8
they 2
thinks 1
this 1
to 13
twin 1
up 1
vienna 1
what 2
when 1
whom 1
wish 1
with 4
without 1
work 1
would 1
