8950870
/m/027qy40
/m/027qy40
David Baldacci

{"/m/01jfsb": "Thriller", "/m/02n4kr": "Mystery", "/m/02xlf": "Fiction"}
a 30
about 3
absolute 1
accusations 1
action 2
affairs 1
after 2
agent 1
ahead 1
alert 1
alive 1
all 3
alley 4
alpha 1
also 3
although 1
ambush 4
american 1
an 2
and 28
anything 1
apparent 1
apt 1
are 9
as 11
at 4
attack 1
attention 1
back 2
bad 2
baldacci 2
be 5
bear 1
beat 1
been 1
before 1
begins 1
between 1
big 1
blame 1
boasts 1
both 1
boy 10
bravery 1
brother 2
building 1
business 2
but 4
by 2
cackles 1
call 1
can 1
canfield 1
cant 1
carries 1
cause 1
caused 1
center 2
chance 1
character 1
characteristics 1
charlie 5
children 1
claire 1
complex 1
concern 1
connection 1
continue 1
counsel 1
damn 1
danger 1
daniels 1
dark 1
david 1
day 1
dead 1
dealer 1
dealing 1
deaths 1
defense 1
deficiencies 1
deliver 1
delving 1
died 2
directly 2
distance 1
distrust 1
do 3
does 2
doing 1
door 1
down 2
drug 3
during 1
earnest 1
echelon 1
empire 1
entire 1
epitome 1
especially 1
even 3
ever 1
every 1
exaggerating 1
external 1
f 1
face 1
fact 1
fall 2
faltering 1
families 1
far 1
fatherless 1
fbi 5
fear 1
feet 1
few 1
field 1
fills 1
final 1
fire 2
five 1
for 12
francis 1
freeze 1
freezes 1
friend 1
from 4
front 1
gain 1
get 1
gets 1
getting 1
giant 1
give 1
given 1
gives 1
giving 1
go 4
goes 1
good 2
got 1
grateful 1
greatest 1
green 1
ground 1
group 1
grueling 1
guilt 1
gun 1
guy 4
guys 6
had 2
half 1
hand 1
happened 2
has 2
hat 1
have 2
having 1
he 19
hell 4
helpless 1
hero 1
heroes 2
him 4
himself 2
his 18
hope 1
hostage 3
hrt 6
impact 1
in 17
incidents 1
including 1
information 1
innocence 1
instance 1
internal 1
into 3
investigation 1
investigations 1
ironically 1
is 21
isnt 1
issues 2
it 5
its 2
job 3
judge 1
judgment 1
just 2
keep 2
key 1
kid 3
killed 3
kind 1
know 1
knows 1
lair 2
last 1
lays 1
leader 1
less 1
let 2
life 1
line 1
london 4
long 1
looking 1
loses 1
lost 1
lot 2
love 1
loved 1
loyal 1
makes 2
males 1
man 2
manage 1
managed 1
manipulating 1
meanwhile 1
members 2
men 1
mere 1
might 1
missing 2
mission 3
moment 1
moments 1
moniker 1
most 1
motivated 1
motto 1
move 4
much 1
multilayered 1
muscle 1
naturally 1
needs 2
nerves 1
never 1
newspaper 1
next 1
no 1
nor 1
not 4
note 1
nothing 1
notwithstanding 1
novel 1
of 18
off 1
on 8
one 8
only 4
operation 1
operations 1
or 1
other 1
out 3
outsurviving 1
over 1
own 1
paints 1
pariah 1
part 1
paying 1
perfection 1
personal 1
place 1
plot 1
points 1
poor 1
position 1
precision 1
press 1
proceed 1
proceeds 1
prosecutor 1
prove 1
provided 1
psychiatrist 1
psychological 2
pulse 1
queer 1
radios 1
rampant 1
real 1
really 1
rescue 2
reserve 1
reveals 1
rom 1
room 1
run 3
runaway 1
said 1
same 1
saw 1
scale 1
screw 1
seconds 2
see 1
seek 1
seems 1
sees 2
sending 1
sends 1
sent 1
separate 1
set 3
shots 1
side 1
signal 1
signs 1
silent 1
since 1
single 1
sixtyfour 1
slithered 1
small 1
so 1
somehow 1
soon 2
specifically 1
speed 1
standing 1
start 1
stealth 1
steps 1
still 1
stop 1
story 2
straining 1
strong 1
struggled 1
subject 1
superelite 1
surprise 2
surprised 1
suspicions 1
suspicious 1
tactical 1
take 1
taking 1
talk 1
target 1
team 12
tends 1
territory 1
than 1
that 19
the 66
their 5
them 5
themselves 1
then 2
therapy 1
there 3
these 3
they 11
this 12
those 1
though 1
three 1
thriller 1
through 1
time 1
to 42
toc 1
too 1
top 1
torn 1
towards 1
trade 1
training 1
traitor 1
trust 1
trying 2
twopronged 1
type 1
uncharacteristically 1
undercover 1
understand 1
unemployed 1
unit 1
unnerves 1
unrelated 1
unusually 1
up 5
use 1
used 1
usual 1
utters 1
violence 1
visualizing 1
waco 1
want 1
wants 1
warning 2
warrant 1
was 4
watches 1
weapons 2
web 18
westbrook 2
what 2
when 5
where 1
which 3
while 1
who 4
whod 1
whoever 1
whose 1
widows 1
with 8
without 1
wondering 1
wont 1
words 1
working 1
world 1
worse 1
would 3
yell 1
yet 2
