3494489
/m/09gl1q
/m/09gl1q
Jurek Becker
1969
8 2
a 20
abandon 1
about 6
access 1
act 1
acted 1
after 4
again 1
alive 1
all 1
already 1
also 1
although 1
ambiguous 1
an 3
and 21
another 1
any 1
approach 1
approaches 1
are 3
army 1
around 1
arrive 1
arrives 1
artificial 1
aryan 1
as 2
at 2
attempt 1
attempting 1
attention 2
authentic 1
based 1
basement 1
battle 1
be 1
became 2
because 2
become 1
becomes 1
becoming 1
begging 1
believe 3
boredseeming 1
both 3
bother 1
boxes 1
breaks 1
broadcast 1
brought 1
but 6
by 12
camp 1
camps 1
can 1
cannot 2
churchill 1
city 1
close 1
closet 1
cloud 3
clouds 1
comes 2
coming 1
confesses 1
confession 1
convey 1
corroborate 1
cotton 1
could 1
courage 1
course 2
created 1
creative 1
cumbersome 1
cured 1
curfew 3
d 1
dangerous 1
day 3
death 2
deathshot 1
decides 1
defective 1
deported 1
deportees 1
despair 1
destroys 1
distracts 1
does 1
during 1
each 1
either 1
emotionally 1
emulating 1
ending 4
endings 2
enlivened 1
enraged 1
entering 1
equally 1
escape 2
escaping 1
even 1
eventually 1
everyone 1
everything 2
exactly 1
fake 1
fate 1
father 1
fearful 1
feels 1
felix 2
fictional 1
fictitious 1
figures 1
fill 1
find 1
first 2
firsthand 1
flashlight 1
followed 1
follows 1
for 6
forbidden 1
forced 1
frankfurter 1
friend 1
friendship 1
from 8
gardener 1
gathers 1
german 2
germans 1
get 2
ghetto 7
girl 1
give 2
gives 1
giving 1
goes 1
gone 1
good 2
guard 1
hangs 1
hapless 1
happened 1
has 7
have 1
he 24
healthy 1
hearing 1
hears 2
help 1
her 5
herschel 1
heym 1
hidden 2
hiding 1
him 9
himself 3
his 10
home 1
hope 6
however 1
if 3
ii 1
ill 1
imagined 1
imitates 1
immediately 2
impedes 1
implicates 1
in 11
inconvenient 1
inculpating 1
independent 1
information 1
inside 2
inspired 1
intent 1
intentions 1
is 20
it 4
items 1
jacob 23
jacobs 2
jakob 1
jew 1
jewish 2
jews 2
joke 1
just 1
killed 2
knocking 1
kowalsky 4
last 1
leave 1
liberate 1
lie 4
lies 2
life 3
lina 3
looking 1
luck 1
lying 1
made 1
maintain 2
man 1
mention 1
met 1
metaphorical 1
mind 1
miraculously 1
mischa 7
moment 2
much 1
name 1
named 1
narrator 1
near 1
need 1
needed 1
neighbors 1
nervous 1
new 1
news 9
newspaper 1
next 2
nobody 2
not 4
novel 2
now 2
obeys 1
occupation 1
of 21
officer 2
old 1
on 4
only 1
opening 1
or 2
order 2
otherwise 1
out 4
over 2
own 1
parents 2
partner 1
passed 1
patrol 1
peace 1
people 2
perceived 1
playing 1
pm 1
poland 1
police 1
possesses 2
potatoes 1
powerful 1
practical 1
precinct 1
pressure 1
pretending 2
pretends 2
prevent 1
princess 3
prohibited 1
promised 1
proof 1
propagate 1
proposes 1
protagonist 1
provide 2
question 3
questions 1
radio 12
radioshow 1
raised 1
reach 1
reader 2
real 1
reality 1
realizes 1
really 1
reassures 1
received 1
red 1
redeeming 1
released 1
reporting 1
responsible 1
responsibly 1
return 1
returning 1
risk 1
room 2
rosa 2
russians 2
same 1
save 1
saves 1
saw 1
schtamm 1
schtamms 1
second 1
see 1
seen 1
sends 1
sentinel 2
she 2
shortly 1
shot 1
should 1
since 2
skeptical 2
so 1
some 1
sounds 1
spreading 2
spreads 1
stand 1
station 3
stay 1
steal 1
stealing 1
still 1
stopped 1
story 1
strictly 1
striving 1
submissively 1
suddenly 1
swamped 1
tedious 1
telling 2
tells 3
that 12
the 81
their 2
them 4
there 1
thinks 1
this 2
thought 1
thus 2
time 3
timid 1
to 31
toilet 1
train 1
transport 1
true 1
truth 1
trying 2
two 1
understands 1
usually 1
versus 1
voice 1
voices 1
wagon 2
walking 1
wants 2
war 2
was 6
watchman 1
watchmans 1
water 1
way 1
ways 1
weakness 1
were 2
what 2
when 2
where 2
which 1
while 4
who 6
whose 1
why 1
will 2
winston 1
with 3
without 1
wool 1
word 2
working 1
world 2
would 2
year 1
yet 1
