5160607
/m/0d5m3f
/m/0d5m3f
Catherine Asaro
1996-05-15
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 10
abilities 1
able 1
accident 1
acknowledge 1
acknowledging 1
after 1
against 4
ai 1
allied 1
allowing 1
almost 1
also 1
amplified 1
an 3
and 14
anguish 1
appears 1
are 4
aristo 3
artificial 1
as 2
avenge 1
aware 1
back 1
barely 1
battle 2
become 1
been 1
being 1
between 1
bioengineered 1
biomech 1
bitter 1
bodies 1
book 2
both 1
brother 3
but 2
by 1
calls 1
captured 1
civilizations 1
class 1
command 1
commander 1
commands 1
commit 1
condition 1
continues 1
control 1
cords 1
counsel 1
crippled 1
daring 1
deal 1
derives 1
desperate 1
deteriorate 1
discovers 2
divided 1
drained 1
earth 1
eldrinson 1
embedded 1
emotionally 1
empathic 1
empaths 1
empathsespecially 1
empire 3
empires 2
ends 1
enemies 1
enhanced 2
escape 2
evacuate 1
executed 1
experience 1
extensive 1
fall 1
father 3
fight 1
fighter 1
finally 1
first 1
for 5
foreshires 1
four 1
frees 1
friend 1
from 4
future 1
genocide 1
goes 1
going 1
gun 1
has 2
have 5
he 3
heartbender 1
heir 2
help 3
her 11
herself 1
hide 1
highton 1
him 1
his 1
hold 1
hostilities 1
hq 1
humansettled 1
if 1
imperator 1
imperial 1
imperialate 1
in 12
inhabitants 2
intelligence 1
interrogate 1
into 1
inversion 1
is 6
isolated 1
it 1
jagernaut 1
jagernauts 3
jaibriol 6
joined 1
kill 1
knowing 1
knowledge 1
knows 1
kurj 1
learns 1
leave 1
legions 1
link 1
lives 1
long 1
love 1
may 1
meeting 1
meets 1
mentally 1
military 1
needs 2
neurologically 1
neutral 1
of 14
on 3
only 1
own 3
pain 1
part 1
particular 1
personal 1
pilot 1
pilots 1
pitted 1
planet 6
pleasure 1
possesses 1
post 1
president 1
primary 1
probably 1
psychologist 1
qox 2
race 1
reaction 1
rebel 1
recuperation 1
refuses 1
remained 1
rescue 1
respective 1
rest 1
return 1
rex 1
rule 1
rulers 1
ruling 1
safe 1
same 1
sauscony 1
save 1
second 3
secret 1
secretly 1
section 1
sections 1
seeks 1
sent 1
set 1
she 10
ship 1
shoots 1
shore 1
situation 1
skolian 2
some 1
someday 3
soz 11
space 2
specifically 1
speed 1
spinal 1
squadron 3
star 1
starfaring 1
stunned 1
suffering 1
syndrome 1
taking 1
that 8
the 33
their 8
them 1
there 1
they 5
three 3
throughout 1
time 2
to 14
together 1
trader 2
traders 2
trained 1
traumatic 1
treason 1
treat 1
true 1
two 1
undertakes 1
until 1
valdoria 1
vie 1
wants 2
warn 1
warring 1
was 1
weapons 1
where 1
who 4
wields 1
will 3
wishes 1
with 8
worlds 1
