1542308
/m/05903n
/m/05903n
Colin MacInnes
1959
{"/m/02n4kr": "Mystery", "/m/05hgj": "Novel", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
158 1
a 10
adults 1
africans 1
airport 1
along 1
also 3
and 9
appearance 1
arriving 1
as 3
at 2
august 1
be 1
beginning 1
being 1
birthday 1
book 1
boss 1
but 1
by 1
called 1
callmecobber 1
castle 1
concept 1
convenience 1
cookham 1
cottage 1
country 1
cruise 1
day 1
decides 1
designer 1
detail 1
dies 1
discussing 1
disgust 1
divided 1
doctor 1
doesnt 1
each 1
ed 1
encounter 1
enter 1
envelopes 1
exgirlfriend 1
exist 1
fashion 1
father 4
find 1
finds 1
four 3
friends 1
from 1
gay 1
gives 1
half 1
has 5
he 4
henley 2
her 3
him 2
his 7
hms 1
hoplite 1
husband 1
ill 1
in 7
incidents 1
into 1
is 4
july 1
june 1
last 1
learns 1
leave 1
leaving 1
life 1
london 1
marriage 1
meeting 1
middleaged 1
money 1
months 1
musical 1
narrator 7
new 1
nineteenth 1
novel 1
of 7
on 4
operetta 1
outlook 1
particular 1
parts 1
photographs 1
pinafore 1
place 1
racial 1
racism 1
relationship 1
resume 1
sections 1
seeing 1
seems 1
sees 2
separated 1
september 1
set 1
several 1
she 1
should 1
show 1
shows 1
some 1
spanned 1
still 1
stuffed 1
summer 1
suzette 3
symbolically 1
take 1
taken 2
takes 1
taking 1
ted 1
teenaged 1
teenager 2
thames 2
that 2
the 20
them 1
this 1
to 5
towards 1
trip 1
tv 1
uncertain 1
up 2
various 2
violence 1
violent 1
warm 1
watches 1
welcome 1
where 1
whether 1
which 1
windsor 1
with 6
witnesses 1
year 1
