5699509
/m/0d_ty_
/m/0d_ty_
David Weber

2 1
200000 1
3 1
78 1
8 1
a 29
about 3
absolve 1
accidentally 1
account 1
achuultani 17
activate 1
activation 1
advance 1
advanced 1
advancing 1
advising 1
after 5
again 3
against 4
agent 1
ago 1
aid 1
aided 1
aimed 1
all 6
alliance 2
also 1
ambition 1
ambush 3
ambushes 1
an 7
and 50
anomalies 1
another 1
answers 1
anu 1
apparently 1
appoints 1
are 6
armaments 1
arrays 1
arrive 1
arrives 2
as 14
asian 3
assault 1
assistant 1
asteroid 2
at 7
attached 1
attack 2
attacked 1
attacks 1
attempting 1
authority 1
automated 1
autonomy 1
back 1
backed 2
barely 1
barren 1
base 1
battered 1
battle 2
battlecomp 1
be 4
because 2
been 7
begins 1
behind 1
being 2
believe 1
bia 2
biological 1
birhat 4
blasts 1
bloody 1
blow 1
book 1
both 2
brashieel 1
briefly 1
built 1
bullet 1
but 5
butter 1
by 17
can 1
cannot 1
capable 1
captain 1
captured 1
case 1
causing 1
centers 2
changed 1
charge 1
choice 1
civil 2
civilian 1
civilization 1
clanking 1
cloning 1
close 1
colin 12
come 1
coming 1
command 2
completely 1
computer 6
considerable 1
consists 1
constant 1
construct 2
constructed 1
contact 1
contained 1
continued 1
control 4
controlled 1
convinced 1
copied 1
core 1
council 1
courier 1
couriers 1
course 1
crew 3
crimes 1
crushing 1
dahak 14
daughter 1
dead 1
deal 1
death 1
decimated 1
decision 2
decoded 1
deduced 1
deep 1
defeat 2
defeated 1
defenders 3
defense 2
defenses 2
defram 2
deliberately 1
dense 1
depart 1
depleted 1
designed 1
destroy 1
destroyed 1
develops 1
device 1
devoid 1
did 1
different 1
directly 1
disabling 1
disappeared 1
disarmed 1
discover 2
discovered 1
discovers 1
disintegrates 1
divided 1
does 1
down 2
drive 3
drives 1
drop 2
due 2
duel 1
during 1
dust 1
each 1
earth 12
eastern 1
economy 1
effect 3
effective 2
effectively 1
elated 1
element 1
elevated 1
elevation 1
emergency 1
emperor 1
empire 2
enchanach 3
ending 1
ends 1
engage 1
enormous 1
enough 2
ensuing 1
ensure 1
entire 3
entrusted 1
equal 1
escape 1
escaped 1
escort 1
etc 1
even 1
events 1
eventual 1
evil 1
excavated 1
except 1
expected 1
explanation 1
exploit 2
extremely 2
failing 1
fallen 1
far 1
fateful 1
female 2
females 1
field 1
final 2
find 1
first 5
flank 1
flaw 1
flees 1
fleet 9
fleets 1
flotilla 1
for 9
force 3
forces 6
forcibly 1
form 2
forms 1
fortresses 2
fortunately 1
four 1
frantic 1
free 2
fresh 1
from 5
front 1
ftl 1
gargantuan 1
gather 1
generally 1
genetic 1
gerald 1
get 2
giving 1
go 3
goes 1
good 1
government 2
governments 1
governor 2
granting 1
gravitonic 3
gravity 3
great 2
ground 1
group 1
guard 6
hacks 1
had 11
happy 1
has 3
hatcher 1
have 5
having 5
he 1
held 1
help 1
heralds 1
high 1
highestranking 1
him 1
himself 2
his 7
holdout 1
holdouts 1
hoof 1
hopeful 1
horrific 1
horus 4
hothan 2
hours 1
however 1
hurling 2
hypercom 1
hyperdrive 1
hyperlimit 1
hypermines 2
hypermissile 1
hyperspace 3
hyperxenophobia 1
iapetus 1
if 1
imbalance 1
immediately 1
immense 1
impact 1
imperial 8
imperium 5
implement 1
implosive 1
impossible 1
in 20
inconsistent 1
incursion 1
inducing 1
industrial 1
information 1
inhabited 1
inner 1
installations 1
instead 1
intended 1
intercepted 1
into 7
invincible 1
is 13
isis 1
it 9
its 7
japan 1
jiltanith 1
join 1
justify 1
kano 1
keerah 2
kills 1
kinetic 1
knit 1
known 2
labor 1
labyrinth 1
lack 1
lacking 1
last 1
launchers 1
lay 1
laying 1
least 1
left 1
lethal 1
liberation 1
lieutenant 1
life 3
like 2
limitation 1
line 1
little 2
local 1
location 2
loyalist 1
luck 1
lure 1
macintyre 2
main 2
makes 1
making 1
marshal 1
master 2
mattrans 1
means 1
meantime 1
merely 2
message 1
methodically 1
middle 1
military 6
million 2
millions 2
