3459528
/m/09dlp_
/m/09dlp_
Pierre Christin
1978

a 27
about 3
accompanied 1
across 1
actions 1
after 1
agreements 1
agriculture 1
all 10
almost 1
an 2
and 32
angry 1
animal 1
announced 1
another 1
apartments 1
appear 1
are 8
armies 1
armoured 1
arms 1
around 1
arrive 3
arriving 2
as 5
asked 1
asks 2
assembly 2
astonishment 1
astroport 1
astroship 2
at 8
away 2
back 2
be 9
bearing 1
beautiful 1
because 2
been 3
before 2
begins 1
begs 1
benevolent 1
beside 1
best 1
between 1
birds 1
blazing 1
blonde 1
blumflum 8
boats 1
bottom 1
bourgnouf 1
breaks 2
bring 1
brings 1
brought 3
buffalo 1
build 1
buildings 1
bureaucracy 1
but 2
by 12
call 1
can 2
candidates 1
cargo 1
centralised 1
chains 2
challenge 2
challenged 1
chamber 1
champion 3
champions 9
children 8
chooses 1
chose 1
cities 1
city 1
civilising 1
clear 1
cleaves 1
climb 2
climbing 1
closer 1
cold 1
competition 1
confront 1
conquer 1
conquering 1
create 2
crevasse 2
crevices 1
crumble 1
crumbling 1
crushing 1
dawn 1
day 4
days 1
deadly 1
deal 2
declared 1
delighted 1
delivers 1
demands 1
demolished 1
demonstrates 1
descends 1
desert 2
deserving 1
destroys 1
determine 2
die 1
different 2
difficulty 1
discovers 1
disgorge 1
dispatched 1
displayed 1
dome 2
doors 1
dragonlike 1
each 4
efficient 1
either 1
entire 1
equality 1
equinox 1
equinoxes 1
every 1
everyone 3
examiner 5
exhausted 1
explains 4
facing 1
falling 1
father 1
few 2
fight 1
fights 1
filene 5
final 1
finds 1
first 3
flaming 1
fleets 1
flotilla 1
flows 1
fly 1
follow 1
following 1
footing 1
for 4
forces 1
forthcoming 1
four 5
freedom 1
freezes 1
from 4
furious 1
future 4
galaxity 2
galaxy 1
generation 2
giant 3
given 1
goes 2
great 3
greeted 2
growing 1
hacks 1
happens 1
happy 2
harbour 2
harmony 1
has 6
have 7
he 12
head 1
heavy 1
height 2
her 5
herd 1
herded 1
him 5
himself 2
his 7
hope 1
how 2
however 1
huge 1
hundred 1
ice 1
idea 1
image 1
images 3
imaginary 1
impressing 1
in 21
inches 2
industry 1
influence 2
intends 1
intensive 1
interested 1
interplanetary 1
into 2
introduces 1
irmgaal 8
is 14
island 3
it 5
itineraries 1
its 1
jungle 1
just 2
kingdom 1
knows 1
krahan 1
landing 1
last 4
laureline 7
lava 1
leaders 1
leave 2
led 1
left 1
lies 1
life 1
like 1
little 1
live 1
lives 1
looks 1
loses 1
luxury 1
made 1
make 3
malalum 1
man 1
manages 1
marked 1
material 1
medical 1
meditation 1
meets 2
members 1
men 2
mighty 2
mists 1
molten 1
monster 1
monsters 1
more 1
morning 3
mother 3
mountain 3
must 2
mutilated 1
narrow 1
nature 1
never 2
new 1
next 3
no 2
nobody 1
normal 1
not 2
now 1
oasis 1
obliges 1
of 39
off 4
old 3
on 5
one 2
only 1
open 1
opposition 1
or 2
order 1
ortzog 8
other 3
out 5
over 2
own 2
pack 1
palace 3
pathetic 1
peace 1
people 2
physical 1
pier 1
pillar 2
pillars 1
planet 3
population 1
pour 1
poverty 1
powerful 2
powers 1
previous 3
promises 1
promote 1
protective 1
pushed 1
races 1
rather 1
rats 1
ravaged 1
reach 3
reaches 2
reaching 1
ready 1
rejected 1
religion 1
remaining 1
reminds 1
repopulate 1
representatives 1
resemblance 1
resorted 1
restored 1
return 2
returned 2
revelations 1
rock 2
rockfalls 1
rocky 1
room 2
route 1
ruin 1
run 1
sail 2
same 1
search 1
searing 1
second 1
see 3
seeds 1
seeking 1
sees 1
sent 1
service 1
set 2
sets 1
sharp 1
shatter 1
she 9
ships 2
shoot 1
shooting 1
shore 1
should 1
show 1
shows 1
shrunk 2
simlane 17
simpler 1
since 1
size 1
skills 1
smash 1
so 2
solid 1
some 2
space 2
speak 1
speaks 1
specially 1
speech 1
spirit 1
spiritual 1
spread 2
stage 1
stand 1
starvation 1
sterile 1
stifling 1
still 3
stopped 1
strangle 1
struggle 1
submit 1
succeed 2
successful 2
summit 4
sun 1
supreme 3
sweeps 1
sword 2
take 1
taken 1
takes 4
test 1
than 1
that 14
the 94
theatre 1
their 9
them 5
then 1
they 12
third 4
this 2
those 1
thousands 1
three 3
through 2
time 2
to 50
toddlers 1
told 2
too 1
top 2
tourists 2
towards 1
traps 1
travel 1
trials 1
try 1
trying 1
tumbles 1
turn 2
two 1
unfaithful 1
unlike 1
up 3
use 1
uses 2
valrian 23
vessels 1
vines 1
vision 1
was 1
washed 1
wave 1
way 4
we 1
were 1
what 1
when 1
where 6
which 3
while 2
whirlwind 1
who 3
will 13
winner 2
with 9
woman 1
women 1
world 2
worlds 3
worried 1
would 4
