7931793
/m/026khgg
/m/026khgg
Frederik Pohl
1991
1yearlong 1
a 7
addressed 1
after 1
among 1
an 1
and 2
are 1
around 1
as 3
at 2
awareness 1
before 1
being 1
between 1
called 1
cargo 2
commits 1
cow 1
crew 3
crime 1
crimes 1
culture 1
customs 1
death 1
depending 1
developed 1
die 1
different 1
disease 2
diseases 1
during 1
ends 1
explore 1
find 1
for 1
form 1
from 1
have 2
humans 1
if 1
immunity 1
in 1
industry 1
infraction 1
interesting 1
interstellar 2
is 4
isolation 1
it 2
its 2
lethal 2
local 1
lottery 1
mad 1
odd 1
of 8
on 1
outoftheway 1
pill 1
planet 1
poison 1
principal 1
prion 1
probability 1
public 1
punishment 1
raising 1
revolution 1
runs 1
scrapie 1
sentenced 1
several 1
severity 1
sheep 2
ship 1
slowyear 4
someone 1
sort 1
star 1
stopping 2
story 2
such 1
take 1
tells 1
that 1
the 10
their 2
these 1
they 1
to 2
vessel 1
visits 1
was 1
which 3
widespread 1
will 1
without 1
worlds 1
years 1
