6101339
/m/0fq57_
/m/0fq57_
Danielle Steel
1994-07
150maribeth 1
a 3
accidentally 1
adoptionfinding 1
after 2
and 4
asked 1
athlete 1
awaits 1
away 1
baby 1
by 1
chicago 1
comeback 1
convent 1
conventshe 1
delivers 1
disapproves 1
faithhope 1
father 1
for 1
from 1
getting 1
gives 1
goes 1
got 1
graduationher 1
happenedhe 1
her 3
high 1
home 1
in 2
inside 1
into 1
is 1
it 1
life 2
lonely 1
married 1
moves 1
new 1
novel 1
nunsmaribeth 1
of 3
outside 1
pregnant 1
prom 1
robertson 1
romance 1
school 1
sends 1
senior 2
setting 1
she 1
star 1
the 7
to 2
up 1
was 2
what 1
where 1
who 1
with 1
