24787810
/m/0809l92
/m/0809l92
Dave Barry
2009-10-13

102 1
23 1
a 13
able 1
about 2
actually 1
advisor 1
after 2
aka 1
albert 1
almost 1
along 1
an 3
and 11
answers 1
anxious 1
appearance 1
as 6
aster 2
at 4
back 3
baron 1
be 2
because 1
becomes 1
been 4
before 2
being 1
believes 1
bishop 1
blake 1
boat 1
bobby 1
boys 1
brushes 1
but 4
by 4
cambridgeshire 1
can 1
cause 1
chief 1
children 1
church 1
claim 1
close 1
clue 1
come 2
confess 1
confused 1
consciousness 1
controlled 1
convinces 1
could 2
curtana 1
danger 1
darling 1
daughter 2
day 1
days 2
deceased 1
decides 1
destroyed 1
dewulf 1
digging 1
dirty 1
disappears 1
disguised 1
due 1
edward 1
else 1
employer 1
england 1
especially 1
evening 1
events 1
every 1
eye 1
father 2
fear 1
fears 1
few 3
fighting 1
finally 1
find 3
finds 2
foolishness 1
for 5
four 2
george 3
get 1
gives 1
giving 1
goes 1
going 1
grabbed 1
grandfather 1
has 5
have 3
he 13
help 1
her 15
hideous 1
him 2
his 4
home 1
hoping 1
house 1
ill 1
in 8
incident 2
informs 1
inventions 1
inventor 1
is 13
island 2
it 3
james 4
job 1
john 1
keep 2
kelly 1
knowing 1
known 1
leonard 2
like 2
locket 1
london 1
look 1
looks 1
lord 1
lose 1
loses 1
lost 2
louise 1
manlike 1
married 1
mcpherson 1
meant 1
meanwhile 2
men 3
mercy 1
mere 1
michael 1
might 1
minor 1
missing 1
miter 1
mollusk 2
molly 11
monster 1
mother 2
mysteriously 1
named 1
neville 2
next 1
night 1
no 1
not 2
notices 1
now 2
nowhere 1
of 11
off 2
ombra 2
on 7
one 5
oneal 2
only 2
original 1
ornithopter 1
others 2
out 3
over 1
pain 1
pass 1
peter 5
place 1
pleased 1
plonkfenster 1
porpoises 1
prawn 1
prince 1
prison 2
puzzled 1
real 1
returned 1
returns 1
rundoon 2
safe 1
saying 1
says 1
schatten 2
scotland 2
sea 2
secret 1
seek 1
sends 1
set 1
sets 1
she 10
shore 1
since 1
skeleton 1
so 1
some 3
starcatchers 3
starstuff 1
starts 1
stay 1
still 1
stop 1
story 2
suspicions 1
suspicious 1
sword 2
talk 1
tells 5
that 9
the 21
their 2
them 1
they 4
thing 1
think 1
thinks 1
this 3
though 1
three 2
time 1
tip 1
to 24
told 1
too 2
touch 1
turn 1
uncle 3
underground 1
understand 1
up 1
uses 1
vacation 1
very 1
visited 1
visits 1
von 2
waited 1
was 1
wash 1
weeks 1
wendy 5
were 1
what 2
when 2
while 1
who 3
whole 1
will 1
window 1
with 6
works 1
yard 2
years 1
