1938520
/m/067jj4
/m/067jj4
Jules Verne
1994
161 1
16yearold 1
1th 1
30 1
a 19
able 1
about 1
accounts 1
after 2
agriculture 1
all 3
amongst 1
an 2
and 25
anymore 1
anymoreonly 1
anything 1
apartment 3
are 9
around 1
artist 1
artistic 1
arts 1
as 5
assigned 1
at 4
attending 1
attention 1
available 1
balzac 1
bank 1
banking 1
barred 1
be 2
because 2
become 4
becomes 2
been 2
before 1
being 2
below 1
bereft 1
birthdays 1
bit 1
book 1
bookkeeper 1
bookkeeping 1
books 1
bookstores 1
born 1
both 1
boutardin 3
bring 1
business 2
but 7
by 4
can 3
cant 1
career 1
careful 1
casmodage 1
cemetery 1
century 1
character 1
chemists 1
circles 1
classic 1
classics 1
climax 1
close 1
co 1
coal 1
collapses 1
comatose 1
company 1
compromised 1
considered 1
continues 1
convinced 1
countries 1
cynical 1
day 2
degrees 1
delirious 1
demon 1
denied 1
derived 1
despair 2
destroyed 1
dictates 1
disappeared 1
discusses 1
disgrace 1
distance 1
do 2
doubts 1
draws 1
dream 1
drops 1
dufrnoy 1
dying 1
each 1
eat 2
efficient 1
electrical 1
electricity 1
empty 1
ends 1
engines 1
enters 1
entire 1
entitled 1
escape 1
europe 2
even 2
evening 1
events 1
eventually 1
every 2
evicted 1
explains 1
factory 1
fails 1
fame 1
family 3
famine 1
father 1
fear 1
ferocity 1
final 1
finally 1
finance 1
finds 2
fired 1
first 1
fitting 1
followed 1
food 1
foods 1
for 5
forgotten 1
former 1
fortune 1
freezes 1
friends 1
from 4
frozen 1
fury 1
futuristic 1
germany 1
goes 1
graduates 1
graduation 1
graduations 1
granddaughter 1
grandfather 1
had 1
has 4
have 4
he 15
heartbroken 1
her 3
him 1
himself 1
his 7
hopes 1
hugo 1
huguenin 3
hunted 1
imperial 1
impossible 1
in 22
inconceivable 1
information 1
ink 1
is 19
its 1
job 3
joined 1
journalist 1
killing 1
kindred 1
last 3
late 1
leaves 1
ledger 3
librarian 1
library 1
lifefrom 1
literature 2
lives 1
living 2
locate 1
long 1
longhidden 1
lost 1
love 1
loved 1
lucy 3
machines 1
mademoiselle 1
main 1
major 1
mass 1
matter 1
mechanics 1
mechanized 1
meet 1
michel 22
mindless 1
money 1
monsieur 4
more 1
most 1
musical 2
musician 1
mysterious 1
narrative 1
need 1
neurotic 1
new 1
news 1
no 4
not 1
nothing 1
novel 1
of 17
old 1
on 6
ones 1
only 1
or 1
order 1
other 2
out 1
own 1
pair 1
paris 4
paroxysm 1
people 1
perpetual 1
person 1
poet 1
poetry 2
poverty 1
presence 1
profession 1
progress 1
project 1
publisher 1
quinsonnas 8
reader 1
really 1
rejected 1
repetitive 1
resolved 1
resort 1
respectable 1
rest 2
resulting 1
rhetoric 1
richelot 2
river 1
sadly 1
science 1
scientific 1
searches 1
she 1
snow 1
so 4
society 1
soldiers 2
solid 1
spends 2
spills 1
spirit 1
spot 1
stalemate 1
stanislas 1
start 1
starving 1
state 1
steadily 1
still 2
story 1
stumbling 1
subjective 1
such 3
superb 1
supplies 1
support 1
surreal 1
synthetic 1
task 1
teacher 2
technology 2
tells 2
temperature 1
that 10
the 33
them 1
there 3
they 2
things 1
thirty 1
this 4
though 1
thousands 1
through 1
time 1
to 13
too 1
turns 1
ugly 1
unable 2
uncle 3
unconsciously 1
universitys 1
unprecedented 1
until 1
up 1
valued 1
violets 1
visit 1
visitors 1
wanders 1
war 3
warfare 1
was 2
when 1
where 3
which 1
while 2
who 2
whose 1
will 1
winter 1
with 4
without 1
women 4
wonders 1
work 4
working 3
world 2
writers 1
writes 2
writing 2
year 1
