1441865
/m/051x4x
/m/051x4x
Richard Adams
1984
15 1
a 27
accepts 1
acclaim 1
across 1
adams 1
affair 1
after 2
agents 2
agree 1
aided 1
all 1
alliance 1
ally 1
almost 2
although 1
always 1
an 7
and 43
andanokomis 3
angry 1
apparent 1
arduous 1
are 4
army 1
around 1
arranged 1
as 17
assassinating 1
at 7
attack 1
attempt 2
authority 1
avoid 1
back 2
baron 2
based 1
bayubotal 6
be 4
beautiful 1
because 1
become 2
becomes 1
bed 1
bedslave 1
bedslaves 1
been 5
behalf 1
being 1
bekla 8
beklan 5
best 1
betraying 1
between 1
bitterly 1
black 1
boat 1
both 1
boundary 1
boy 1
breaks 1
breeding 1
bring 1
brought 2
bundled 1
but 6
buys 1
by 17
bypass 1
came 1
can 1
capital 2
captors 1
caretaking 1
causes 1
ceding 1
celebrated 1
central 1
chance 3
chapters 1
charge 1
charges 1
child 1
childbirth 1
chores 1
city 3
civil 1
colluding 1
come 1
comes 1
commander 1
companions 1
condemned 1
confederates 1
considered 1
contact 1
conversation 1
conversations 1
cottage 1
counsellor 2
countries 1
country 1
coup 1
courtesan 1
cover 1
crown 2
cryptic 1
dancer 1
dances 1
daughter 1
day 1
dead 1
death 4
debasement 1
decadent 1
deduces 1
depend 1
deranged 1
dereliction 1
describes 1
desert 1
desperate 1
despite 3
detachment 2
died 1
discovers 1
dispossessed 1
does 1
doubly 1
dragged 1
dragonfly 1
drastically 1
durakkon 1
during 2
duty 1
edge 1
efforts 1
elevate 1
else 1
embittered 1
emeralds 1
empire 4
employed 1
employees 1
ends 1
enforce 1
enjoys 1
enlists 2
enslavement 1
escape 1
escaped 1
even 2
everyone 1
exchanges 1
execution 1
expectations 1
expensive 1
extraordinary 1
faction 1
fails 1
falls 1
far 1
farm 3
farms 1
father 3
fellow 2
filled 1
finances 1
find 1
finds 1
fled 1
flees 1
flight 1
foils 1
for 7
forces 1
ford 1
former 1
fornis 12
free 1
freebooters 1
freeborn 1
freed 1
frees 1
friend 1
friends 1
frightening 1
from 8
funloving 1
fury 1
gaining 1
gains 1
garden 1
general 2
genshed 1
gets 1
girl 3
girls 2
gives 1
go 1
going 1
good 1
gradually 1
great 2
grief 1
guarding 1
had 5
handsome 1
has 2
have 3
having 1
he 6
heavily 1
heavy 1
heir 1
help 2
her 29
heroine 1
herself 2
hiding 1
high 3
him 2
his 6
hopes 2
hoping 2
house 1
household 3
how 2
however 1
husband 1
idealistically 1
ill 1
implication 1
imprisoned 1
in 18
incapable 1
including 1
incorporated 1
indeed 1
inducted 1
informal 1
informant 1
intends 1
intense 1
interest 1
intervals 1
into 3
invasion 1
invitation 1
is 21
it 2
jealous 1
jewelmerchant 1
kembri 4
kill 1
killed 4
kingdom 1
lake 3
lalloc 2
largely 1
last 1
later 1
law 1
learns 2
leaves 1
led 1
legalized 1
length 1
leopard 1
leopards 1
like 1
little 1
lives 3
looks 1
lord 2
love 1
lover 1
lovers 2
loves 1
luck 1
lures 1
maia 38
makes 2
man 1
manage 1
marriage 1
means 1
meanwhile 1
meets 1
men 3
meris 4
money 1
morca 5
more 1
most 1
mother 3
murder 1
murdered 1
murderous 1
named 1
needs 1
neighboring 2
nevertheless 1
new 1
nicknamed 1
night 1
no 1
noblewoman 1
nokomis 4
not 2
now 1
obvious 1
occula 19
of 35
officer 1
on 8
one 3
or 2
ordinary 1
other 2
out 3
outlines 1
overthrowing 1
own 2
paid 1
party 1
passionately 1
past 1
patriotism 1
peddler 1
people 1
performing 1
plan 2
plea 1
pleasures 1
pockets 1
political 1
poor 1
popular 1
popularity 1
position 1
potential 1
power 1
powerful 1
powers 1
