7543031
/m/0264ycg
/m/0264ycg
Steven Sater

{"/m/04rlf": "Music"}
a 28
abortion 2
about 14
abuse 2
abuses 1
accidentally 1
across 2
act 4
action 1
actions 1
actually 1
admits 1
admitting 1
adolescent 1
adult 1
adulthood 1
advances 1
affection 1
after 4
again 2
against 1
age 1
agrees 1
aimless 1
all 4
alone 1
already 1
although 4
ambiguous 1
america 1
an 8
and 67
anemia 1
anyone 1
anything 1
anyway 1
apart 1
apologizes 1
appalled 1
appear 1
are 8
argue 1
around 1
artists 1
as 9
aside 1
assembles 1
assures 1
at 19
attempting 1
attention 1
aunt 1
away 4
babies 2
back 2
be 4
beating 1
because 1
become 1
becomes 1
been 3
before 4
begin 2
begins 2
behind 1
being 2
believe 2
believes 1
believing 1
belongings 1
berates 1
bergmann 1
between 2
bitch 1
blame 2
blue 2
body 2
books 1
bore 2
botched 1
both 1
boys 7
bring 1
broadway 1
burnedout 1
but 16
by 4
call 1
calls 1
calm 1
can 4
cannot 2
carried 1
carry 1
carrying 1
caught 1
cemetery 1
century 1
change 2
changes 1
chastises 1
child 4
childhood 6
children 1
choices 1
circumstances 1
class 1
classmate 3
clearly 1
close 1
colony 1
combination 1
come 2
comes 1
comfort 2
comfortable 1
coming 1
commits 1
compassionate 1
complains 1
complete 1
completely 1
complies 1
conceive 1
conception 1
concerned 1
condition 1
confronts 1
confused 1
consent 2
considering 1
considers 1
consummated 1
contact 1
contemplate 1
contempt 1
continue 1
convinces 1
could 1
cries 2
curled 1
current 1
dark 1
darkness 1
daughter 1
death 2
decide 1
deeming 1
defend 1
delicate 1
delivering 1
denies 1
describes 1
desires 3
despite 1
determined 1
devastated 1
died 1
difficult 1
digested 1
direct 1
discourage 1
discuss 1
disdain 1
disgusted 1
distraught 1
do 8
doctor 1
does 3
doesnt 1
doing 1
dont 2
dream 1
dreams 3
drops 1
during 2
dusk 1
each 4
eagerly 1
either 1
elsewhere 1
end 1
ends 1
environment 1
ernst 1
erotic 2
escapes 1
essay 4
even 1
everyone 2
everything 1
examination 1
examinations 1
expelled 1
explain 1
express 1
expresses 1
facts 1
fail 1
failed 2
falls 1
fantasies 1
fantasize 1
fate 1
father 5
feel 2
feeling 1
feelings 2
female 1
few 1
fight 2
final 1
finally 2
find 2
finds 3
fine 1
finishing 1
firmly 1
first 2
flee 1
flower 1
flowers 1
for 11
force 1
forever 1
form 1
forth 1
found 1
friend 4
friends 3
from 12
front 1
frustrating 1
frustration 2
frustrations 1
fucked 1
funeral 1
future 1
gabor 1
game 1
gathered 1
gave 1
georg 1
germany 1
get 2
gets 2
girls 5
give 2
gives 2
going 1
gone 1
goodlooking 1
got 1
grab 1
grade 1
grave 3
graves 1
grew 1
grief 1
ground 3
guilt 1
guilty 1
hadnt 1
handle 1
hanschen 3
happened 3
hard 1
harshly 1
has 17
hasnt 1
have 5
having 2
hayloft 3
he 30
hear 2
heard 1
heart 1
her 43
herself 1
highly 1
him 21
himself 4
his 30
hit 1
hits 1
home 2
homeless 1
horrified 1
house 1
how 3
husband 1
i 3
ignorant 1
ii 1
ill 1
illustrations 1
ilse 9
in 23
including 2
indulges 1
information 3
innocent 1
insanity 1
insistent 1
insists 1
instead 1
institution 1
intelligent 2
intense 1
intent 1
intention 1
intimacy 2
into 2
invites 1
is 28
it 8
join 1
journal 2
journey 1
junk 1
just 2
keep 1
keeping 1
kicked 1
killing 1
kiss 1
kissing 1
know 2
knowing 1
knowledge 2
known 3
knows 2
lack 1
laments 1
last 1
late 2
latenineteenth 1
later 2
latin 1
lay 1
learn 2
learned 2
learns 1
leaves 1
leaving 2
led 2
left 3
lessons 1
lest 1
letter 2
letters 1
levels 1
lied 1
life 1
like 2
line 1
list 1
little 1
live 1
lively 1
living 1
lofty 1
long 1
look 1
looking 1
looks 1
love 2
made 2
makes 1
mama 2
man 2
many 1
marrying 1
martha 3
masturbates 1
masturbation 1
maybe 1
me 3
meanwhile 3
medication 1
meet 1
meeting 1
meets 1
melchior 32
melchiors 1
melchoir 1
memories 3
message 1
met 1
midnight 1
midterm 1
mind 2
mirrorblue 1
misquotes 1
moment 3
money 1
more 5
moritz 28
moritzs 1
mother 14
must 2
mutual 1
my 1
name 1
narrowmindedness 1
need 1
needs 1
nervous 1
new 1
night 3
no 2
none 2
not 10
note 2
nothing 2
noticed 1
now 1
nowhere 1
objections 1
objects 1
oblivious 1
of 28
off 2
offbroadway 1
offer 1
old 1
older 1
on 14
once 1
one 2
ones 1
only 4
onstage 1
open 1
optimism 1
or 1
other 3
others 1
out 6
outlook 1
overpowers 1
overwhelmed 1
own 2
pain 2
panicked 1
parents 3
pass 1
passed 1
passing 1
passionate 1
persuade 1
physical 2
physically 1
piano 2
picks 1
pistol 1
position 1
postcard 1
powerful 1
practitioner 1
pragmatic 1
pregnancy 1
pregnant 2
prepared 1
presented 1
progress 1
promise 1
promises 1
puberty 1
purple 1
question 1
radical 1
raise 1
rape 1
rather 1
razor 1
reaches 1
reaching 1
react 1
reacts 1
reads 2
realizes 3
realizing 1
really 1
reason 1
rebellious 1
received 1
reflect 1
reflects 2
reform 2
refuge 1
refusal 1
refuses 2
rejects 1
relationship 1
reluctant 1
reluctantly 2
remarkable 1
reminisce 1
reprise 2
request 1
requests 1
resists 1
resolves 1
result 1
results 1
return 1
rise 1
run 1
runs 2
sadness 2
scene 1
school 9
schoolmaster 2
search 1
searching 1
second 1
secretly 1
seducing 1
see 1
sees 1
send 2
sends 1
sensing 1
sent 1
sex 2
sexual 2
shallow 1
share 1
shares 1
sharing 1
she 22
sheer 1
shock 1
shocked 1
shoots 1
show 2
shy 1
signs 1
similarly 1
simply 1
sing 1
sitting 1
sleepily 1
slightly 1
sneaks 1
so 3
society 1
softened 1
somberly 1
some 7
something 2
son 3
song 1
sort 1
spirits 1
spot 1
staged 1
standards 1
stick 1
stiefel 1
still 2
stone 1
storm 1
straightforward 1
strength 1
student 1
studying 1
stuffy 1
stumbles 2
subject 1
suffering 1
sufficient 1
suicide 1
summer 1
surrenders 1
swears 1
switch 1
take 1
taken 1
takes 4
taking 1
talking 1
taught 1
teacher 5
tease 1
teenage 2
tell 3
telling 2
tells 8
tenderly 1
test 1
than 1
that 31
thats 1
the 78
their 14
them 8
then 2
there 3
they 19
things 2
this 7
those 1
thoughts 1
thrilled 1
through 2
thrown 1
throws 1
time 4
times 1
to 63
together 2
told 1
too 2
top 1
torturous 1
totally 1
touch 1
town 5
tree 1
tries 2
true 1
try 1
trying 1
turn 1
two 1
uncaring 1
underground 1
understand 3
understanding 2
uneasy 1
unlike 1
up 6
upon 1
upset 2
use 2
very 4
virgil 1
visit 1
vivid 1
wanders 2
wants 1
was 3
way 1
weeps 1
well 1
wellendowed 1
wendla 35
were 2
what 6
when 9
where 1
which 3
while 1
whispering 1
who 9
whose 1
wife 1
will 5
wind 2
with 21
without 3
woman 1
woods 1
word 2
would 1
write 1
writes 1
wrote 2
young 2
your 2
youve 1
