10639949
/m/02qkz8g
/m/02qkz8g
Tom Sharpe
1977
17year 1
2 1
80year 1
a 11
affair 1
agency 4
agrees 1
america 1
american 1
amount 1
an 1
and 6
anonymous 2
armtwisting 1
arrives 1
aspiring 1
at 1
author 5
authors 1
been 1
between 1
blanche 1
book 4
business 1
but 3
by 3
called 1
carries 1
carte 1
case 1
certain 1
claimed 1
convince 1
copy 1
country 1
court 1
day 1
deal 2
deals 1
decide 1
following 1
for 4
frensic 2
from 3
futtle 2
has 1
have 1
how 1
hutchmeyer 1
in 2
is 1
it 2
libeled 1
literary 1
loses 1
love 1
manuscript 1
men 1
million 1
mistake 1
note 1
o 1
of 4
old 2
on 1
one 2
out 2
pause 2
persuasion 1
peter 1
piper 3
populist 1
promotional 1
proof 1
providing 1
publish 1
publisher 2
rapidly 1
receives 1
remain 1
saying 1
sign 1
small 1
solicitor 1
sonia 2
stand 1
states 1
successful 2
takes 1
that 2
the 16
their 1
to 10
together 1
tour 1
travel 1
turns 1
united 1
unpublished 1
use 1
virgin 1
when 1
who 1
wishes 1
with 3
woman 2
youth 1
