7828649
/m/026fhrp
/m/026fhrp
David Brin


143 1
a 8
able 1
advance 1
aesir 6
african 1
against 2
alien 1
all 1
allies 1
allying 1
amazing 1
american 2
americans 1
an 1
and 5
anyone 1
appeared 1
arabian 1
are 2
arrived 1
as 4
asian 1
aside 1
assumed 1
band 1
been 1
before 2
being 1
bright 1
brin 1
brought 1
burn 1
but 1
by 1
camp 1
camps 2
captain 1
chance 1
colder 1
comic 1
comics 1
conquer 1
continue 1
counter 1
creating 1
death 3
desperation 1
destroying 1
developing 1
during 1
effect 1
else 1
europe 1
extended 1
faith 1
fellow 1
fifties 1
fight 1
foes 1
follows 1
form 1
free 1
from 2
fuel 1
fulfill 1
fully 1
given 1
global 2
globe 1
gods 5
government 1
had 1
has 3
have 2
he 2
help 1
his 2
history 1
how 1
human 2
hundreds 1
in 2
inspired 1
intentionally 1
internees 1
into 1
invaders 1
is 2
japanese 1
keep 1
know 1
knowing 1
leading 1
let 1
lights 1
loki 5
madness 1
magic 1
makes 1
manned 1
marvel 1
mighty 1
military 1
mission 1
mortal 1
multiple 1
must 1
nazioccupied 1
nazis 3
necromancy 2
never 2
night 2
norse 1
nuclear 1
number 1
of 14
oilfields 1
on 4
one 1
only 1
or 1
oss 1
otherwise 1
ours 1
over 1
partially 1
persia 1
potential 1
prevent 1
prophecy 1
push 1
quickly 1
race 1
ragnarok 1
regions 1
remaining 1
result 1
reveals 1
reversal 1
roles 1
sacrifice 1
safety 1
satellite 1
scale 1
schemes 1
secret 1
seen 1
sent 1
series 1
shinto 1
slaughter 1
somehow 1
spreads 1
spy 1
suicide 1
summon 2
sure 1
technology 1
tell 1
that 1
the 41
their 3
them 1
themselves 1
they 2
this 2
thor 1
thousands 1
through 1
throughout 1
time 1
to 16
together 1
trickster 1
tropicals 1
tropics 1
truth 1
unquestioned 1
until 1
use 1
used 3
villain 1
war 1
warming 2
well 1
were 2
when 1
where 1
which 1
whisk 1
who 1
winter 2
with 3
works 1
world 3
would 1
