6644417
/m/0gfy9x
/m/0gfy9x
Jacek Dukaj
2001
a 8
activities 1
alien 1
all 1
american 1
an 3
and 6
are 1
areas 1
as 3
ass 1
assigned 1
becoming 1
borders 1
branches 1
bureaucrat 1
but 1
cataclysm 1
character 1
closely 1
corporate 1
covering 1
currently 1
cynical 1
deadend 1
decisions 1
densely 1
describes 1
develop 1
do 1
dukaj 1
egoistic 1
everything 1
evolution 1
experiment 1
explore 1
for 1
from 1
gain 1
genes 1
going 2
has 1
he 6
hero 1
him 1
himself 1
his 4
however 1
human 1
hunt 2
importance 1
in 2
including 2
insane 1
internal 1
into 1
invasion 1
involved 1
is 8
it 1
job 1
just 1
knows 1
lifeforms 1
like 2
lobbyist 1
lost 1
lowkey 1
main 2
many 1
memes 1
memetics 1
military 2
millions 1
more 1
motivation 1
needs 1
new 2
nicholas 2
nogo 1
not 2
of 6
on 1
one 1
or 2
oversee 1
painful 1
paranormal 1
people 1
place 1
politician 1
populated 1
posttechnological 1
potential 1
power 1
project 2
promising 1
psychomemetics 1
race 1
rat 1
research 1
result 1
sciences 1
scientists 1
secret 1
seeing 1
seems 2
singularity 1
some 2
soon 1
starts 1
step 1
strange 1
struggle 1
study 1
suddenly 1
sure 1
survive 1
takes 1
telepathy 1
that 1
the 4
theories 1
thing 1
this 1
to 3
transformation 1
use 2
we 2
what 1
whose 1
will 1
with 2
world 1
worldwide 1
would 1
zone 1
