23510337
/m/06w6vsq
/m/06w6vsq
Danielle Steel
2008-10
112 1
a 8
after 1
against 2
and 5
annabelle 4
april 1
around 1
avenue 1
away 1
become 1
becomes 1
before 1
betrayed 1
born 1
braver 1
but 1
by 2
changed 1
coincidental 1
corner 1
course 1
doctor 1
everything 1
family 1
field 1
fifth 1
fight 1
first 2
flees 1
for 2
forever 1
former 1
france 1
glamorous 2
grief 1
happily 1
helping 1
her 6
herself 2
hospital 1
igniting 1
in 6
into 2
is 1
island 1
life 5
living 2
lose 1
love 1
marriage 1
medicine 1
meeting 1
more 1
mother 1
new 3
newport 1
nursing 1
odds 1
of 4
on 1
others 1
overwhelming 1
paris 1
passion 1
poor 1
pours 1
privilege 1
reminds 1
returns 1
rhode 1
run 1
sank 1
scandal 1
set 1
shape 1
she 1
society 1
stronger 1
taking 1
than 1
that 1
the 8
then 1
thrown 1
titanic 1
to 3
undeserved 1
until 1
volunteer 1
war 2
warravaged 1
was 1
when 1
which 1
with 1
woman 1
women 1
work 1
world 2
worthington 1
would 1
york 2
