1363774
/m/04wwmn
/m/04wwmn
Alan Hollinghurst
1994
{"/m/05hgj": "Novel"}
a 11
about 1
affair 3
affection 1
after 1
again 1
ago 1
also 2
altar 1
an 2
and 8
are 1
artist 2
as 1
aschenbach 1
at 4
back 1
bad 1
be 1
beach 2
beautiful 5
beauty 3
became 1
belgium 1
beloved 1
board 1
book 1
bored 1
both 1
bulletin 1
but 4
by 3
byron 3
can 3
characters 2
cherif 2
children 1
conclusion 1
continually 1
cruel 1
curates 1
dawn 2
deals 1
death 2
decades 1
deeply 2
dies 1
disaffected 1
disappear 1
disappearance 2
disappears 1
dragging 1
earlier 1
edgard 1
edward 7
elegy 1
emerging 1
ends 1
england 1
english 2
enigmatic 1
ensor 1
even 2
evokes 1
existing 1
falls 1
famous 1
father 2
feeling 1
fernand 1
flanders 1
fleeting 1
for 3
foreigner 1
forerunner 1
frame 1
from 1
gay 1
gin 1
giving 1
good 1
had 1
handsome 1
has 1
he 4
her 1
high 1
him 2
his 5
hollinghurst 1
how 1
image 1
in 7
interest 1
into 1
intrudes 1
is 8
james 1
jane 2
khnopff 1
last 1
later 2
leaving 1
life 2
lifelong 1
like 2
linked 1
literary 1
longlost 1
looking 2
love 3
lover 2
luc 6
major 1
man 1
mann 1
manners 5
many 2
marcel 3
marked 1
missing 1
model 2
modeled 1
modelled 1
moves 1
much 1
museum 1
mysteriously 1
named 1
never 2
north 1
not 2
novel 3
now 1
objects 1
obsesses 1
obsession 3
obsessive 1
of 15
old 1
on 2
one 2
only 2
ordinary 1
orst 5
ostend 2
other 1
others 1
out 2
over 1
painting 1
paintings 1
particularly 1
past 2
pastoral 1
pattern 1
people 2
photographs 1
poetically 1
protagonist 2
really 1
recounting 1
relationship 1
represents 1
return 1
romantic 1
saltspattered 1
same 1
sea 2
see 1
seen 2
shiftless 1
soon 1
story 1
students 1
subsequent 1
swum 1
symbolist 1
tadzio 2
teaches 1
than 1
the 24
thomas 1
those 1
thus 2
time 1
to 6
town 1
tradition 1
tragically 1
treatment 1
twilight 1
two 2
ugly 1
ultimately 1
up 2
venice 1
version 1
von 1
was 2
waves 1
we 1
when 1
where 1
while 1
who 6
with 9
within 1
world 1
worship 1
years 1
young 1
younger 1
youth 2
youthful 1
