3023020
/m/08l5lw
/m/08l5lw
Dodie Smith
1948
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel", "/m/01qxvh": "Romance novel", "/m/01z4y": "Comedy"}
a 20
about 1
acquaintance 1
actor 1
advances 1
after 1
all 2
although 1
ambiguous 1
ambitions 1
america 3
american 1
amused 1
amusing 1
an 4
and 29
angel 1
anyone 1
anything 1
apparently 1
are 2
around 1
artist 1
as 3
at 2
attracted 1
attraction 1
austen 1
away 3
awkward 1
back 1
be 1
beautiful 2
beauty 1
become 5
becomes 1
been 1
before 2
begin 1
begins 1
bit 1
block 2
book 2
boots 1
both 1
bright 1
brother 1
brothers 3
budding 1
but 6
buy 1
by 8
california 1
call 1
can 1
capturing 1
career 1
carefree 1
cassandra 14
cast 2
castle 2
chance 1
character 1
characters 1
child 1
classic 1
closes 1
closing 1
coat 1
comes 1
communing 1
conceal 1
considerably 1
considered 1
conversation 1
cook 1
cope 1
cotton 1
cottons 2
countryside 1
daughter 2
day 1
decides 2
declaring 1
deflect 1
deflects 1
depicts 1
developing 1
devil 1
differ 1
difficult 1
dilapidated 1
display 1
drastic 1
drop 1
each 1
effective 1
either 1
elder 2
eligible 1
elope 1
else 1
emerging 1
emotional 1
encourage 1
england 1
english 2
enjoys 1
episode 1
escape 1
evening 2
eventually 1
everyone 1
everything 2
exotic 1
expedient 1
faces 1
falling 1
falls 1
families 1
family 4
father 3
feelings 2
fianc 1
find 1
finds 1
first 2
flirts 1
food 1
for 4
forces 1
forgiven 1
fortyyear 1
friends 1
from 1
fur 1
furniture 1
get 1
go 1
good 2
grew 1
guilt 1
hall 1
handsome 1
happen 1
has 3
hate 1
have 1
he 4
heartbroken 1
heir 1
help 1
her 12
herself 2
him 6
himself 1
hip 1
his 6
hopeful 1
hoping 1
household 1
however 2
if 1
imprisoning 1
in 15
including 1
increasing 1
inexperienced 1
inherit 1
innovative 1
inspiration 1
interested 1
into 1
intrigued 1
involving 1
is 16
isnt 1
isolation 1
jacob 2
jane 1
join 1
journal 4
kissing 1
landlords 1
late 1
leads 1
lease 1
leaves 1
left 1
like 1
literary 1
live 1
livein 1
london 1
lonely 1
longing 1
look 1
lot 1
love 5
loves 1
loyal 1
made 1
makes 1
man 1
many 1
marry 2
may 1
meanwhile 1
medieval 1
meet 1
meeting 1
men 1
model 2
moment 1
more 1
mortmain 4
mortmains 3
mother 1
movie 1
mrs 1
much 1
must 1
name 1
narrator 1
nature 1
nearby 1
neil 4
new 2
next 1
noble 1
not 1
note 1
nothing 1
novel 2
now 2
obsessed 1
of 7
off 1
offers 1
on 2
one 1
openly 1
or 1
other 1
out 2
overcome 1
overhears 1
own 1
pay 1
pining 1
poor 1
poverty 1
preferably 1
pressures 1
pretend 1
problematic 1
promised 1
propose 2
proposes 1
published 1
purchase 1
raised 1
rancher 1
really 1
reasserting 1
record 1
reference 1
relationships 1
reminding 1
repelled 1
resolving 1
return 1
rich 1
ridiculous 1
romance 1
rose 10
round 1
scheme 1
scholarly 1
schoolboy 1
scoatney 1
second 1
see 1
selling 1
sends 1
serious 1
she 10
shed 1
simon 13
since 2
sister 1
so 1
sold 1
some 1
sometimes 1
son 1
soon 1
soul 1
spend 1
spends 1
spite 1
stephen 4
story 2
subtler 1
suffering 1
suffers 1
tactfully 1
tailspin 1
taken 1
talent 1
tells 1
ten 1
than 1
that 5
the 34
their 5
them 1
then 1
there 1
therefore 1
they 4
things 1
thinks 1
this 1
thomas 3
though 1
time 1
to 28
together 2
tolerably 1
took 1
topaz 3
touching 1
tower 1
trousseau 1
two 1
unmarried 1
unnoticed 1
up 1
very 1
walk 1
wants 2
was 1
wealthier 1
wealthy 1
wearing 1
wedding 1
well 1
when 4
which 3
while 2
who 5
widowed 1
wife 1
winningly 1
with 13
wittily 1
wrestling 2
writer 3
writing 1
years 1
young 2
younger 1
youngest 1
