52803
/m/0dw9b
/m/0dw9b
Victor Hugo
1831-01-14
{"/m/0dwly": "Children's literature", "/m/02xlf": "Fiction"}
1482 1
6 1
a 6
about 2
actually 1
adoptive 1
after 3
and 19
another 2
archdeacon 1
are 2
as 3
asks 1
assumes 1
at 1
attempt 1
attempted 2
be 2
beautiful 1
been 1
begins 1
being 2
bell 1
bellringer 1
betrays 1
between 1
bones 1
but 3
by 7
calls 1
can 1
captain 1
captured 1
captures 2
carries 1
cathedral 2
charge 1
charged 1
church 3
claude 1
clopin 1
corpse 1
criminals 1
crowning 1
dame 4
day 1
death 2
deformed 1
dies 1
down 1
drink 1
drives 1
during 1
dust 1
eighteen 1
epiphany 1
esmeralda 11
especially 1
eventually 1
execution 1
exposure 1
failed 1
father 1
feast 1
find 1
flogged 1
followed 1
fools 2
for 2
found 1
france 1
frollo 7
from 2
gallows 1
generous 1
gibbet 1
goes 1
gringoire 2
guards 1
gypsy 1
had 1
handing 1
hanged 1
hanging 2
have 1
he 6
heart 2
hearts 1
heights 1
help 1
her 7
him 4
his 7
hour 2
huge 1
hunchback 2
hurt 1
husband 1
in 3
including 1
introduced 1
is 11
it 2
january 1
jealousy 1
kidnap 1
kill 1
killed 1
kind 1
king 2
later 2
laughs 1
law 1
led 1
lies 1
likewise 1
longer 1
love 2
many 1
men 2
montfaucon 2
months 1
murder 1
next 1
no 1
notre 4
obsessive 1
of 16
off 2
offers 1
on 2
one 1
opened 1
orders 1
paris 2
performer 1
phoebus 3
phony 1
pierre 1
pillory 1
poet 1
poor 1
pope 1
public 1
pushes 1
quasimodo 9
rallies 1
remove 1
rescue 2
rescued 1
right 1
rope 1
rules 1
sanctuary 2
save 1
saves 1
seeing 2
seek 1
sees 1
sentenced 2
separate 1
sex 1
she 5
shelter 1
skeletons 1
so 2
someone 1
starvation 1
stays 1
story 1
street 2
suddenly 1
swings 1
taken 1
the 30
them 3
then 1
there 1
they 1
thinks 1
thirst 1
those 2
thrown 1
to 20
tomb 1
torn 1
tortured 1
tries 2
troops 1
truands 2
turn 1
turned 1
unceremoniously 1
under 2
vaults 1
want 1
watches 1
water 1
when 2
where 1
while 1
who 2
whom 1
will 1
win 1
with 3
yet 1
