16205905
/m/03wcxvs
/m/03wcxvs
Jules Verne
1900
{"/m/08sdrw": "Adventure novel"}
187 1
60000000 1
a 1
added 1
america 1
an 1
and 6
are 2
as 2
baedecker 1
based 1
board 2
book 1
by 1
chicago 1
claim 1
codicil 1
companion 2
completion 1
contestants 1
courtesy 1
crabbe 1
descriptions 2
devised 1
djk 1
eccentric 1
end 1
first 2
foley 1
for 2
fortune 1
friend 1
game 7
geographic 1
goose 1
guide 1
harris 1
has 1
he 1
her 1
hermann 1
his 8
hodge 1
however 1
hypperbone 1
in 4
is 3
j 1
john 1
jovita 1
kate 1
known 1
kymbale 1
left 1
living 1
lizzie 1
max 1
millionaire 1
milner 1
modes 1
mysterious 2
noble 2
numerous 1
of 9
on 1
only 1
order 1
own 1
participants 1
person 1
places 1
player 1
players 1
prize 1
published 1
ral 1
reach 1
required 1
source 1
states 2
sum 1
t 1
tell 1
the 24
this 2
time 1
timetables 1
titbury 1
to 6
tokens 1
tom 1
tommy 1
trainer 1
transport 1
turk 1
twelve 1
united 2
upon 1
urrican 1
us 1
used 1
verne 1
version 1
visit 1
wag 1
was 2
were 1
who 2
wife 1
will 2
william 1
with 5
xkz 2
