2960744
/m/08g7tg
/m/08g7tg
Günter Grass
1963
a 8
about 1
account 1
action 1
address 1
addressed 1
advantage 1
afterwards 1
again 1
also 1
ambivalent 1
an 4
and 8
at 1
aware 1
battle 1
becomes 1
behind 1
by 2
captain 1
changing 1
character 1
collect 1
consequence 1
course 1
crew 1
cross 2
death 1
denied 1
describes 1
desertion 1
deserts 1
different 1
disappearance 1
disgrace 1
disunity 1
dive 2
diving 1
division 1
each 1
emotions 1
end 1
entering 1
even 1
events 1
everpresent 1
expelled 2
explores 1
fairly 1
feelings 1
fight 1
first 1
flexibly 1
for 3
forbids 1
form 1
former 1
friends 1
from 7
gramophone 1
grass 1
great 1
grounds 1
guilt 1
halfsubmerged 1
hatch 1
he 3
help 1
hide 1
him 1
himself 2
his 7
however 1
implies 1
in 5
inability 1
incoherent 1
increasingly 1
indicating 1
information 1
instance 1
into 1
iron 2
is 7
items 1
joins 1
left 1
mahlke 14
main 1
make 1
making 1
meet 1
memory 1
might 1
minesweeper 1
more 1
moving 1
much 1
narration 1
narrative 1
narrator 5
navy 1
near 1
never 1
no 1
not 1
novella 1
objective 1
objects 1
of 13
often 2
on 3
once 1
or 2
other 1
over 1
own 1
panzer 1
perspective 1
pilenz 2
place 1
plaques 1
points 1
polish 1
possibly 1
post 1
pressures 1
principal 1
reason 2
receives 1
relationship 1
remove 1
returning 1
returns 1
salvages 1
school 3
screwdriver 1
second 2
seeing 1
sees 1
sell 1
sentence 1
shipwreck 2
since 1
single 1
situation 1
sometimes 1
speech 2
steals 1
story 2
students 1
successes 1
summer 1
sunken 1
survive 1
takes 1
thanks 1
that 2
the 34
their 2
there 1
thirdperson 1
through 2
timeline 1
to 13
together 1
treason 1
treated 1
uboat 1
unwell 1
various 1
visiting 1
war 2
was 2
whether 1
which 2
whose 1
wish 1
with 3
within 2
world 1
wreck 1
youth 1
