251355
/m/01l9hr
/m/01l9hr
John Irving
1981
a 21
abandoned 1
actress 1
actually 1
agent 1
airplane 1
amount 1
an 3
and 35
another 1
are 7
as 11
asking 1
at 5
attended 1
attends 1
aware 1
awkward 1
baby 1
bear 6
becomes 2
berrys 1
better 1
black 1
blind 1
blow 1
book 1
both 1
boy 2
boys 1
brash 1
but 2
buys 1
by 5
center 1
chief 2
childhood 1
children 3
chipper 1
comes 1
commits 1
communist 1
communists 1
companions 1
composed 1
conceives 1
costumes 1
country 1
couple 1
crash 1
crisis 1
dairy 3
death 3
decline 1
despair 1
developing 1
developments 1
dickensianstyle 1
discover 1
dog 1
dove 1
dreaming 1
dressing 1
each 2
egg 2
elements 2
enamored 1
end 1
engaged 1
entertainer 1
ernst 1
evocative 1
fall 1
falling 1
family 14
famous 1
father 1
final 1
finding 1
first 2
five 1
floor 2
foil 1
following 1
football 1
for 3
frank 3
franny 10
freud 7
from 4
function 1
girl 2
girls 1
go 1
grandfather 1
group 1
growing 1
hampshire 5
hands 1
handyman 1
happiness 1
harvard 1
has 1
he 5
help 1
her 6
him 1
his 4
homosexual 1
hostages 1
hotel 7
house 1
housekeeper 1
idea 1
if 1
immature 1
impending 1
in 13
including 1
initiation 1
instance 1
into 1
inviting 1
irving 2
is 10
it 1
its 3
jew 1
john 9
jones 2
junior 3
killed 1
large 1
late 1
letter 1
life 1
lilly 4
literally 1
little 1
local 1
love 4
magic 1
maine 3
marriage 1
married 1
mary 2
meet 1
member 1
members 1
met 1
money 2
most 1
mother 1
motorcycle 1
move 1
moves 1
movie 1
naive 1
named 3
names 1
narrator 1
new 7
normal 1
novel 3
now 1
o 1
occupied 1
oddness 1
of 27
on 1
one 1
opera 1
other 2
others 1
parents 2
part 2
penchant 1
penning 1
performing 2
pet 1
physically 1
plot 3
pregnant 1
prep 1
prostitutes 2
published 1
purchase 1
quarterback 2
quirky 1
radical 1
radicals 3
rain 1
raise 2
rape 2
rapist 1
rather 1
ray 1
relationship 1
relationships 2
remarks 1
renamed 1
repeated 1
rescue 1
reserved 1
residence 1
resolution 1
resort 3
rest 1
resurrection 1
returns 2
revenge 1
right 1
romantic 1
ronda 1
run 2
scares 1
school 4
second 1
secondrate 1
seeing 1
seems 1
segment 1
selfconfident 1
separately 1
several 1
sexual 2
she 1
shutdown 1
small 2
smart 2
something 1
somewhat 1
sorrow 1
stanhope 1
starts 1
state 1
states 1
stopped 1
story 2
strange 1
subsequently 1
success 1
suicide 2
suit 1
summer 3
susie 5
sweet 1
symbolize 1
take 1
taking 1
tale 1
taxidermy 1
teaches 1
team 2
teenagers 1
teens 1
that 3
the 59
their 5
them 2
themselves 2
then 1
there 2
they 1
this 3
though 1
to 14
town 1
traveling 1
travels 1
turning 1
unsatisfied 1
up 4
using 1
via 1
vienna 2
viennese 1
what 1
where 1
which 4
while 2
who 3
whom 1
wife 1
win 4
with 12
working 1
works 1
writer 2
york 1
