14782494
/m/03gxvlr
/m/03gxvlr
Eva Ibbotson
1986
{"/m/02p0szs": "Historical fiction"}
a 24
accept 1
acquires 1
act 1
action 1
adored 1
affections 1
after 3
afterward 1
ailing 1
all 3
along 2
also 1
among 1
an 1
and 41
anger 1
angry 1
anna 18
appalled 1
appearance 1
arabian 1
are 4
arrives 4
as 10
asked 1
assures 1
at 9
away 1
back 1
bad 1
ball 4
be 4
because 1
been 1
before 1
begin 1
begins 1
being 1
between 1
birth 1
bluntly 1
bolsheviks 1
born 1
boy 1
bride 1
bringing 1
brother 4
bursts 1
but 2
butler 1
by 4
byrne 2
byrnes 1
can 1
cannot 1
carry 1
carrying 1
case 1
catch 1
charity 1
charming 1
child 1
chirkovsky 1
claiming 1
class 1
closer 1
comfort 1
compelled 1
conceal 1
concerns 1
conclusion 1
confess 1
confide 1
convince 1
cosseted 1
countess 2
country 2
couple 1
cousin 3
cousins 2
cyril 1
dance 1
dances 1
daughter 1
days 3
debts 1
decides 2
decision 1
deeds 1
defiantlongwinded 1
depend 1
depression 1
despite 3
did 1
dies 1
dinner 1
direction 1
disability 1
dismiss 1
distasteful 1
dog 1
done 1
dowager 1
dr 2
drinks 1
due 1
each 3
earl 5
elopes 1
eloping 1
embracing 1
employees 1
employment 2
estranged 1
eugenics 1
even 1
eventually 1
ever 1
everyone 2
everything 1
falls 1
family 4
fancydress 1
father 2
favour 1
feelings 1
fellow 1
fiancee 2
finally 1
finds 2
first 6
five 1
flawless 1
flee 1
following 1
for 7
forced 2
fortune 1
frayne 1
friend 2
friends 2
from 8
fulfill 1
further 1
fussed 1
future 1
genetic 1
get 1
gift 1
go 2
goes 1
good 3
governess 1
governesses 1
grace 1
grazinsky 1
greets 1
grow 1
grows 1
guest 1
guests 3
harder 1
hardwicke 1
hardworking 1
has 2
have 1
having 2
he 13
heard 1
held 1
help 1
helpful 1
henry 1
her 36
herring 1
herrings 2
herself 1
heslop 1
high 2
him 1
hip 1
his 9
home 2
honorable 1
honour 1
house 2
housemaid 1
how 1
however 1
identity 2
if 1
illwish 1
immediately 1
in 11
inhabitants 1
insane 1
instinct 1
insulting 1
intelligent 1
into 4
introduced 1
introduces 1
invited 1
involves 1
is 27
it 3
jewels 1
jilt 1
job 1
jumps 1
just 1
keeps 1
kitchens 1
knows 1
large 1
last 2
late 1
later 3
learning 1
learns 1
leaving 1
leg 1
let 2
lets 1
letter 1
life 2
lifts 1
lightbody 2
lived 1
living 1
london 1
long 1
love 5
made 1
man 1
manor 1
many 1
mare 1
married 2
meanwhile 1
meeting 1
melvyn 1
mersham 8
message 1
minna 1
miserable 1
moment 1
money 1
more 1
mother 2
much 1
multiple 1
muriel 8
murielshe 1
mutations 1
myrtle 1
nasty 1
nationality 1
nature 1
nearby 1
nearly 1
neighbors 1
news 1
night 1
no 1
noble 1
nobly 1
nonetheless 1
not 4
nothing 1
obvious 1
of 24
off 1
offends 1
old 1
older 1
olive 1
on 3
one 1
other 2
out 5
outside 1
over 1
owes 1
own 1
pair 1
pampered 1
party 1
people 1
peter 2
petya 1
pinny 1
plans 1
position 1
possible 1
power 1
present 2
prince 1
problems 1
promise 1
proom 1
protests 1
proves 1
purchasing 1
reach 1
realize 3
realizes 1
received 1
receives 1
rejects 1
reply 1
resent 1
respect 1
return 1
returning 1
returns 1
rich 1
room 1
rude 1
running 1
rupert 13
russia 1
russian 2
sadden 1
sake 1
school 1
second 1
secret 1
sees 3
seized 1
selfish 1
sergei 2
servants 1
serve 1
service 2
serving 1
several 1
shadows 1
share 1
she 16
short 1
shortened 1
show 1
silence 1
sits 1
slips 1
small 1
so 1
some 2
sons 1
soon 1
speaking 1
spectators 1
spirits 1
staff 2
stand 1
stands 1
stay 1
still 2
stops 1
studies 1
such 1
suffer 1
sum 1
summer 1
surprise 1
surprised 2
table 1
tainted 1
take 2
tears 1
teenaged 1
telling 1
that 9
the 49
their 5
them 1
themselves 1
then 1
they 6
those 1
though 1
three 1
to 39
together 2
truly 1
tuberculosis 1
turns 1
two 3
unaware 1
underhousemaid 1
unfriendly 1
unknowing 1
up 2
upon 1
upset 1
uses 1
vain 1
very 2
viscount 1
voices 1
walking 1
wanting 1
war 2
was 1
wedding 3
well 1
westerholme 1
when 3
which 1
while 2
who 2
whole 1
will 1
with 3
woman 2
wood 1
word 2
work 1
world 1
would 1
wrong 1
young 2
younger 2
youngest 1
