20492634
/m/04zy9ph
/m/04zy9ph
Ralph Fletcher
2005-01-01

a 3
acorn 1
an 1
and 2
being 1
bringing 1
buried 1
by 1
called 1
carpets 1
chapter 1
chicken 1
child 1
children 1
classmate 1
dirt 1
down 1
each 2
family 2
father 1
for 1
from 1
game 1
garden 1
got 1
greatgrandmother 1
growing 1
his 4
home 1
in 3
incident 1
include 1
informed 1
kids 1
large 1
marshfield 1
massachusetts 1
mother 2
nine 1
nosy 1
of 4
old 1
oldest 1
on 1
other 1
pet 1
pregnancy 1
pulled 1
ralph 2
rug 1
short 1
snuck 1
some 1
stories 2
street 1
teeth 1
tells 1
the 7
told 1
up 2
was 1
were 1
where 1
who 1
whole 1
