11739292
/m/02wvkyl
/m/02wvkyl
Darren Shan
2006-09-05
{"/m/03mfnf": "Young adult literature", "/m/0dwly": "Children's literature", "/m/03npn": "Horror", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 16
able 1
about 2
actually 1
adding 1
after 4
again 1
agreeing 1
agrees 1
alice 1
alive 1
all 1
almost 1
alone 1
also 4
altered 1
and 23
annie 3
annoyed 1
approaches 1
are 3
as 8
assistant 1
at 4
avoiding 1
avoids 1
away 1
back 2
battle 2
be 6
bear 1
became 1
because 1
become 4
becomes 1
before 1
biological 1
blooded 2
book 1
both 4
break 1
brief 1
bring 1
burgess 1
but 2
by 8
cannot 1
cant 1
caught 2
changes 1
child 2
cirque 2
clans 1
cold 1
confirmed 1
conversation 1
convince 1
could 2
couldnt 1
crepsley 2
current 1
darius 4
darren 30
day 1
deal 2
death 1
deserve 1
destiny 1
destroy 2
diaries 2
did 1
dies 2
directly 1
dislike 1
dna 1
drowning 1
du 1
each 1
either 1
else 1
ends 1
enough 1
epic 1
equal 1
evanna 8
eventually 1
everyone 2
exception 1
eyes 1
fa 1
face 1
father 2
feeds 1
feels 1
fight 1
fighting 1
fights 1
final 1
first 3
fool 1
for 2
freak 1
friends 1
from 3
fulfilling 1
full 1
future 2
gannen 6
getting 1
given 2
gives 1
glad 1
go 2
gods 1
goes 3
gut 1
had 2
halfbrothers 1
halfsister 1
hands 1
happened 1
harst 1
has 1
have 2
he 20
hed 1
help 1
her 1
him 6
himself 4
his 13
history 2
hoping 2
house 1
however 1
human 1
humanity 1
i 1
identity 1
if 2
im 1
implied 1
in 8
incapable 1
instead 1
intending 1
into 3
is 10
it 2
judgement 1
just 1
kill 3
killed 1
kills 1
knocked 1
know 2
knowing 2
lake 1
later 1
laughing 1
leaving 1
let 1
life 1
like 1
little 2
made 2
make 1
making 1
moment 1
mr 9
much 1
must 1
neck 1
nephew 1
next 1
nobody 1
not 2
nothing 1
now 1
of 13
older 1
on 4
only 3
or 1
other 1
out 2
paradise 2
part 2
pass 1
passes 1
past 1
peacefully 1
performers 1
person 2
place 2
planned 1
plot 1
predicted 1
pregnant 1
prepare 1
present 1
prophecy 2
pulls 1
race 1
rage 1
rather 1
ready 1
real 1
release 1
reluctant 1
reminds 1
rest 1
revealed 1
right 1
river 1
riverbank 1
ruler 1
rv 1
same 1
save 1
saying 1
says 1
scares 1
see 1
seeing 1
sees 1
sends 1
sent 1
set 1
several 1
shadows 1
she 1
show 1
shown 1
sides 1
sister 1
so 9
someone 1
son 1
soul 2
souls 1
spared 1
speak 1
stabbed 1
stabs 1
stadium 2
steve 16
tailed 1
take 2
taken 1
taking 1
tall 1
taunts 1
telling 1
than 1
that 16
the 35
theater 1
their 3
them 2
themselves 1
then 6
there 1
they 1
thing 1
this 2
though 2
time 2
times 1
tiny 6
to 27
told 3
tongue 1
top 1
tragedy 1
true 1
truth 1
twins 3
two 1
us 1
using 1
vampaneze 3
vampire 3
vampirepart 1
vancha 5
very 1
visit 1
was 9
we 1
well 1
went 1
were 2
what 2
when 2
where 2
wherever 1
which 1
while 1
who 1
whoever 1
whole 1
will 7
wipe 1
with 4
worry 1
worthy 1
would 3
wouldnt 2
wounded 1
you 4
your 1
youre 1
