12947826
/m/02z10qd
/m/02z10qd
Michael Connelly
1999-01
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
1 1
12yearold 1
a 6
again 1
aim 1
and 3
angeles 1
anges 1
at 1
be 1
beat 1
been 1
behalf 1
believes 1
black 1
bosch 2
bring 1
but 1
case 2
charge 1
civil 1
client 1
colleagues 1
cops 1
court 1
department 1
des 1
detective 1
down 1
during 1
elias 3
else 1
eve 1
finds 1
found 1
frlenvol 1
girl 1
going 2
guilty 1
had 1
hard 1
harris 1
has 1
hatred 1
have 1
himself 1
his 4
hot 1
howard 1
in 2
interrogation 1
is 3
it 1
itil 1
job 1
killer 2
king 1
known 1
lapd 1
lawyer 1
let 1
long 1
look 1
los 1
man 1
michael 1
murder 1
murdered 1
nail 1
ngel 1
no 1
not 1
of 8
on 2
one 1
only 1
police 1
postrodney 1
racial 1
racist 1
ragno 1
rape 1
real 1
reveal 1
rife 1
romanzo 1
shot 1
some 1
suspicion 1
svfallen 1
take 1
target 1
that 3
the 7
this 1
time 1
to 6
touch 1
up 1
violent 1
was 1
who 1
will 1
with 1
yet 1
