33158365
/m/0h669sc
/m/0h669sc
Sarah Vowell
2011-03-22
188 1
1th 1
a 3
america 1
american 2
an 1
and 4
annexed 1
as 1
at 1
attempt 1
back 1
become 1
book 1
century 1
christian 1
clash 1
comes 1
convert 1
cuba 1
culture 1
david 1
destiny 1
end 1
ensued 1
examines 1
following 1
from 1
fulfillment 1
global 1
guam 1
hawaii 1
hawaiians 1
humorous 1
imperialist 1
in 3
invaded 1
laid 1
malo 1
manifest 1
missionaries 1
moved 1
native 1
of 4
philippines 1
power 1
puerto 1
reference 1
rico 1
story 1
swiftly 1
takes 1
tells 1
that 1
the 10
then 2
title 1
to 4
tone 1
try 1
vowell 1
way 1
who 1
