1000340
/m/03y479
/m/03y479
Fanny Burney
1778
18 2
18thcentury 1
2 1
6 1
7year 1
a 20
able 4
about 1
absence 1
accompany 1
acknowledge 1
acknowledged 1
acknowledging 1
acquaintance 3
acquisition 1
actually 1
affair 1
affection 1
affections 1
after 1
again 1
agrees 1
all 1
along 1
alongside 1
already 1
ambiguous 1
an 4
and 37
antics 1
anville 1
appearance 1
appears 1
are 3
arguing 1
armed 1
arrival 1
arthur 1
as 6
assurances 1
at 4
attacked 1
attempt 1
attend 1
attention 2
attentions 2
attract 1
attraction 1
attracts 1
aware 1
back 1
baronet 1
be 1
beauty 1
because 5
becoming 1
been 4
behavior 2
behaviours 1
belief 1
believe 1
belmont 4
beloved 2
berry 3
better 1
between 4
bids 1
boorish 1
branghton 1
branghtons 2
broken 1
brother 1
but 4
by 7
can 1
captain 1
caroline 4
cause 1
ceremony 1
change 1
charitably 1
claim 1
clement 3
clifton 2
closely 1
coheiress 1
company 1
completely 1
compromise 2
concocts 1
confessing 1
consents 1
continuing 1
conventions 1
convince 1
convinced 1
could 1
country 1
court 1
cousins 2
daughter 6
death 2
deathbed 1
debt 1
decide 1
delight 1
delighted 1
delivery 1
desperate 1
devastates 1
direlypoor 1
discovery 1
distance 1
distracted 1
distraught 1
distressed 1
doubts 1
drunken 1
duplicitous 1
duplicity 1
during 1
duval 7
earlier 1
earns 1
ease 1
elicit 1
eligible 1
embarrassment 1
england 2
entreats 1
especially 1
eve 1
evelina 35
expose 1
extended 2
extremely 1
falls 1
false 2
family 2
father 2
faux 1
fears 1
few 1
finally 4
financial 2
first 1
for 7
force 1
forced 1
forgives 1
former 2
fraud 1
friends 1
from 6
furious 2
further 1
future 1
garden 1
gentle 2
gentlemen 1
genuine 1
girl 2
gives 1
granddaughter 1
grandmother 3
greedy 1
green 1
grove 1
guardian 1
guilt 1
guiltstricken 1
gulf 1
had 4
handsome 1
has 4
have 2
he 9
heights 1
her 36
herself 2
hill 3
him 6
his 20
holiday 1
home 2
honeymoon 1
hoping 2
horrified 1
housekeeper 1
howard 5
however 2
humiliating 2
humorous 1
identifies 1
if 1
ignominy 1
ignorant 1
ill 1
illbred 1
illness 1
impertinent 1
in 11
inappropriate 1
influence 1
informs 1
instance 1
insulting 2
intended 1
intends 1
intentions 1
interested 1
intervenes 1
involved 1
is 19
it 1
jealousy 2
john 6
join 1
joint 1
keep 1
kindhearted 1
lady 5
larpent 1
last 1
later 1
latter 1
lawsuit 1
lead 1
learns 2
legitimate 1
let 1
lets 1
letter 5
london 5
longtime 2
longunknown 1
look 1
lord 16
louisa 1
lowly 1
macartney 9
made 1
makes 2
manages 1
manners 1
marriage 2
married 1
marry 2
marylebone 1
meeting 2
meets 1
melancholy 1
merton 1
mirvan 1
mirvans 2
misinterprets 1
misperceived 1
miss 3
mme 7
modest 1
mortifying 1
mother 7
mr 3
mrs 4
much 1
mystery 1
named 2
naval 1
neighbour 1
never 2
not 1
novel 1
now 2
obscure 1
of 19
off 2
officer 1
older 1
on 4
one 1
only 2
opens 1
orville 16
otherwise 1
out 2
outofreach 1
over 1
overheared 1
own 2
pardons 1
parentage 3
paris 2
pas 1
passing 1
past 2
patterncard 1
peer 1
perpetrator 1
pistols 1
plan 1
pleasure 1
poet 1
point 1
polly 2
poor 1
premeditating 1
promising 1
proposes 1
prostitutesand 1
purported 1
purse 1
pursue 1
recognize 1
recovering 1
recuperating 1
relationship 1
reluctantly 1
remove 1
renew 1
renewing 1
repay 1
repeated 1
reports 1
rescued 1
resembles 1
resolved 1
resort 1
respect 1
responds 1
return 2
returning 1
returns 1
reunion 1
reunited 1
reveal 1
revealed 1
reveals 1
reverend 6
ridicule 1
rival 1
robbery 1
rowdy 1
rush 1
sailor 1
salvation 1
sarcastic 1
scottish 1
second 2
section 1
secure 2
secures 1
seeks 1
seeminglyunflappable 1
seems 1
sees 3
selwyn 3
separate 1
separated 1
series 1
shameful 1
she 21
similar 1
sir 9
sister 3
slowly 1
social 1
socialclimbing 1
societal 1
society 1
soninlaw 1
soon 2
speculation 1
spell 1
spend 1
spurred 1
status 2
streak 1
stunned 1
sudden 1
sue 1
suggests 1
suicide 1
supposedly 1
sure 1
surprise 1
surrounding 1
suspected 1
sweethearts 1
taking 1
than 1
that 16
the 35
their 7
them 2
then 1
there 1
they 2
this 2
threatens 1
time 2
to 44
too 1
torn 1
town 1
tracing 1
tries 1
trip 2
true 1
ultimately 1
unexpected 2
unfashionable 1
unfavorably 1
unfortunate 1
uniformly 1
unkind 1
until 1
untimely 2
unwanted 1
unwillingly 1
villars 4
visit 5
ward 1
was 1
weeks 2
well 1
wetnurse 1
when 4
where 2
which 2
while 2
who 1
widow 1
will 2
willoughby 2
win 1
with 16
withdraws 1
womanizer 1
work 1
would 1
write 1
writes 1
written 2
years 2
