2848492
/m/086n1r
/m/086n1r
Jack Vance

{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 22
abducted 1
aboard 1
achieve 1
adapted 1
admit 1
adolph 1
adventures 1
alien 2
aliens 1
along 2
also 1
although 1
an 6
ancestors 1
and 14
annoyance 1
another 1
anything 1
apparently 1
aptly 1
are 8
argumentative 1
artistic 1
as 4
at 2
attempt 1
audiences 3
band 1
barbarism 1
barber 1
barely 1
bay 1
be 2
become 1
been 1
beethovens 1
before 1
begins 1
beneath 1
bernard 1
beyond 1
bickel 1
biscay 1
book 1
boredom 1
bring 1
british 1
but 3
buy 1
by 10
cabin 1
can 1
capacity 1
celebrated 1
chastened 1
cities 1
civilization 1
claims 1
colonized 1
colony 1
communication 1
company 10
conductor 1
confined 1
consultant 1
cos 1
costumes 1
course 1
cover 1
creatively 1
crew 1
critic 1
cultural 1
culture 1
cultures 1
dame 4
debussy 1
demonstrate 1
deputy 1
descendant 1
describing 1
destination 1
destroyed 1
detect 1
determined 1
developed 1
different 1
disappears 1
disappointed 1
discoverer 1
disparities 1
dissonance 1
distant 2
diverts 1
down 1
due 1
dust 1
dutchman 1
earth 4
emerges 1
ends 1
engaged 1
entertainments 2
entranced 2
environment 1
escape 1
establish 1
eventually 1
ever 1
every 1
exhibition 1
expected 1
fakes 1
fan 1
fantasy 1
far 2
fidelio 1
finds 1
fined 1
flute 1
flying 1
folk 1
for 5
forced 1
forests 1
formed 1
formidable 1
forming 1
from 3
galaxy 1
generally 1
germ 1
girl 1
girlfriend 1
gondar 4
grayce 1
group 1
had 3
half 1
has 4
have 1
having 1
he 1
henry 1
her 2
here 1
heroine 1
hiding 1
high 1
hired 1
his 4
human 1
humiliations 1
illusion 1
immense 1
impromptu 1
in 5
indolent 1
induces 1
inhabitants 1
inhabited 2
insane 1
inspector 1
instance 1
intending 1
is 10
isabel 3
isabels 1
isolde 1
it 3
its 1
jailbreak 1
jazz 2
land 1
last 1
later 3
libretti 1
like 1
line 2
listen 1
lives 1
long 2
losses 1
lyonesse 1
macbeth 1
made 1
madoc 4
madouc 1
magic 1
major 1
manipulate 1
many 1
marries 1
matrons 1
members 1
merioneth 1
mistaken 1
mounting 1
mozarts 1
musical 3
musician 1
named 2
natives 1
nephew 1
nephews 1
new 1
ninth 4
nonhuman 1
not 2
novel 2
now 1
occurring 1
of 19
on 10
one 3
opera 1
operalovers 1
operas 1
or 2
orchestra 1
out 1
over 1
own 1
pellas 1
penal 1
people 1
performance 1
performances 2
performed 2
picaresque 1
pilot 1
planet 7
planets 2
present 1
presenting 1
priding 1
productions 1
proposes 1
punished 1
putupon 1
race 1
reasons 1
reception 1
recoup 1
remote 1
return 1
returned 1
returning 1
returns 1
reverted 1
river 1
rixon 1
rlaru 5
roger 2
rossinis 1
roswyn 3
round 1
scores 1
settle 1
several 2
seville 1
shakespeares 1
she 3
ship 2
showboat 1
similarities 1
simple 1
singers 2
sir 1
smuggling 1
society 1
some 3
sometimes 1
source 1
space 1
spacecraft 1
sponsored 1
staged 1
stages 1
still 1
stowaway 1
such 2
suitable 1
suitably 1
sunk 1
tags 1
take 1
talents 1
that 4
the 44
their 6
themselves 1
there 2
these 1
they 4
thinks 1
third 1
thousands 1
throughout 1
time 1
to 25
touch 1
tour 1
trace 1
trade 1
travelling 1
trilogy 1
tristan 1
troupe 1
try 1
turns 1
tutte 1
ultimate 1
uncomprehending 1
und 1
understandable 1
unresolved 1
unseen 1
utterly 1
vance 1
vances 4
vancian 1
various 2
vetted 1
visitors 1
volume 1
voyage 4
wagners 1
wales 2
was 2
washboard 1
wastes 1
way 1
we 1
were 2
what 1
when 1
which 3
while 1
who 3
whole 1
whose 2
will 1
with 6
without 1
wool 1
works 3
world 1
writing 1
yan 2
yans 1
years 1
