344267
/m/01yhyr
/m/01yhyr
Margaret Atwood
1993-09
{"/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 7
abuses 1
accounts 1
after 1
alive 1
all 1
also 1
alternates 1
and 9
angel 1
are 1
as 5
atwood 2
be 1
beaux 1
been 1
began 1
believe 1
betrayals 1
between 4
bind 1
biography 1
bring 1
but 1
by 3
can 1
character 1
characters 2
charis 2
claims 1
classmate 1
confront 1
create 1
cunningly 1
deals 1
death 1
deserved 1
different 1
do 2
during 1
each 4
earlier 1
either 1
else 1
featuring 1
fiction 1
finally 1
flashbacks 1
four 1
friends 2
friendship 1
from 1
funeral 1
further 1
given 1
gives 1
got 1
guardian 1
had 1
has 2
her 5
herself 1
hotel 2
identifies 1
implausible 1
in 2
individually 1
initially 1
insinuate 1
interests 1
into 1
irrevocably 1
is 3
it 1
itself 1
kind 1
knows 1
leaves 2
liar 1
lies 1
life 2
like 1
lives 2
longdead 1
luncheons 1
meditation 1
men 3
mercenary 1
monthly 1
more 1
most 2
nature 1
never 1
no 2
novel 4
of 12
on 1
one 5
or 2
other 2
outing 1
own 1
people 1
points 1
posits 1
power 2
present 2
professional 1
questioning 1
read 1
reader 2
reading 1
recent 1
respective 1
respectively 1
room 1
roz 2
saving 1
see 1
selfempowered 1
selfinterested 1
sexes 1
she 4
simply 1
sisterhood 1
staged 1
stolen 1
struggles 1
tailormade 1
tells 1
than 1
that 4
the 22
their 6
them 2
they 1
theyd 1
three 2
to 3
together 2
tony 2
toronto 1
traitor 1
trust 1
truth 1
ultimate 1
university 1
unworthy 1
uses 1
various 1
version 2
versions 1
victims 1
view 1
war 1
was 1
were 1
what 3
where 1
who 4
will 1
with 3
woman 2
women 4
works 1
writers 1
written 1
zenia 8
