457401
/m/02btw9
/m/02btw9
Thomas Pynchon
1984
37 1
3c 1
8yearold 1
a 45
aa 1
abandon 1
abandoned 1
aboard 1
about 6
accepted 1
across 2
activities 2
adequate 1
adjourns 1
afford 1
afraid 1
after 4
afternoon 2
aid 1
all 3
allegory 1
alone 1
along 2
already 1
also 1
although 1
always 1
american 1
an 9
and 52
anglo 2
another 1
apply 1
archduke 1
are 4
area 3
army 1
around 4
as 11
asks 2
assassinate 1
assassination 2
assigned 1
at 10
attack 1
attempt 1
attempts 1
attention 1
attorneys 1
aubade 2
away 3
baby 1
back 3
bad 1
bare 1
barmaid 1
barrington 2
battalion 1
be 1
beautiful 1
bed 2
been 1
being 1
between 1
big 1
bird 2
black 1
boat 1
bodies 1
bodine 2
bolingbroke 3
boltzmann 1
bombs 1
bongoshaftsbury 3
bottle 1
boy 1
boys 1
break 1
breaks 1
busy 1
but 3
by 8
cab 1
cabs 1
cafe 1
cairo 3
calculus 1
call 1
called 1
calling 1
callisto 3
calls 3
calm 1
cant 1
carl 5
catch 1
causes 1
centers 1
chalking 1
chant 1
chaos 1
chase 1
check 1
cherdlu 1
chianti 1
chicanery 1
child 1
childish 1
children 1
christened 1
cindy 3
claims 1
clausius 1
cleanup 1
closet 1
coed 1
collecting 1
college 1
comes 1
coming 1
communication 1
companion 1
companions 1
company 1
completed 1
condition 1
conditions 1
constant 1
constantly 1
consulgeneral 2
consumerist 1
containing 1
conversations 1
correct 1
could 1
creating 1
creole 1
criminal 1
cronies 1
crying 2
day 2
dead 1
debates 1
decides 1
deciding 1
declines 1
deep 1
definition 1
dennis 9
depart 1
desert 2
despite 1
destination 1
devolves 1
differentiation 1
din 1
disarray 1
discoveries 1
discuss 2
discussing 1
disorder 1
dispatch 1
displacing 1
disrupt 1
do 1
does 1
door 1
down 5
doze 1
drink 1
drunken 1
dub 1
dump 4
during 1
each 1
easy 1
egypt 1
elaborate 1
enclosed 1
end 1
english 1
englishman 1
ensues 1
entertains 1
entrances 1
entropy 1
escort 1
etienne 2
evaporate 1
ever 1
everpresent 1
everyone 1
exit 1
explanation 1
explosions 1
eyes 2
facedown 1
fahrenheit 1
failing 1
fails 1
family 3
feet 1
ferdinand 1
few 1
fifth 1
finally 1
find 1
first 1
fits 1
five 2
flange 1
flanges 1
flatbottomed 1
flipped 1
foils 1
for 14
forest 1
forward 1
franz 1
friend 2
friends 1
from 8
frustrated 1
future 1
gallons 1
garbage 2
genius 1
gentrification 1
get 1
gets 2
gibbs 1
girlfriend 2
girls 1
gives 1
go 2
going 1
golden 1
good 1
goodfellow 5
group 1
grover 4
grownups 1
guard 1
guest 1
gypsies 1
gypsy 1
had 2
hair 1
hands 1
harmlessly 1
has 1
he 19
head 2
heads 1
health 1
hearing 1
hears 1
hell 1
help 1
her 7
here 2
hide 1
him 7
his 16
hit 1
hogan 5
home 4
horrific 1
hot 1
hotel 2
hotels 1
hothouse 2
house 3
hovering 1
how 1
hunch 1
hurricane 1
if 2
imaginary 1
improve 1
in 24
inbetween 1
individuality 1
infiltrate 1
inner 1
inside 1
insistence 1
instead 1
integration 2
intercept 1
into 7
is 19
island 2
it 4
its 1
jazz 1
joined 1
joke 1
jokes 2
juggles 1
junta 3
just 2
keep 1
keeping 1
kids 5
kind 1
king 1
known 1
later 3
latter 1
law 1
laws 1
lawyer 1
lazy 1
lead 1
leak 1
leasebreaking 1
least 1
leaves 1
leaving 1
left 1
legitimate 1
less 1
levine 1
liberal 1
life 3
light 1
like 1
looking 2
looks 1
lover 1
lugging 1
lush 1
made 1
majors 1
make 1
man 5
manor 1
marijuana 1
married 1
marry 1
matters 1
mcafee 5
meaning 1
meant 1
meanwhile 1
meatball 3
meet 1
meeting 2
member 3
men 2
metaphor 1
mg 1
middle 1
mildred 1
milk 1
mingeborough 1
mission 1
mississippi 1
mockery 1
moldweorp 5
moment 2
money 2
morning 1
most 2
mother 1
motorcade 1
moving 1
mr 4
much 1
mulligan 1
music 1
musician 1
musicians 3
named 6
nathan 1
negro 2
neighborhood 4
nemesis 1
new 4
next 2
night 2
no 1
not 2
noticeably 1
nurse 1
of 28
off 3
offers 1
office 1
old 3
on 2
one 3
only 1
opera 1
or 1
ordered 1
orders 1
orleans 1
other 1
out 6
outofcontrol 1
outside 1
over 2
parents 2
party 3
passing 1
patching 1
patrolled 1
pay 1
personal 1
philosophical 1
philosophy 1
picks 1
pig 1
place 2
plan 1
planning 1
plans 1
playmate 1
point 1
police 1
ponder 1
pontificates 1
porpentine 6
possible 1
possibly 1
practical 2
premises 1
probable 1
protests 1
pta 1
published 1
put 1
pynchon 1
racist 1
reach 1
reaching 2
realize 1
realized 1
realizes 1
realizing 1
really 1
reflected 2
refurbished 1
related 1
relationships 1
remarks 1
remembering 1
response 1
return 1
revolving 1
rings 1
rocco 3
room 4
rowdy 1
rumors 1
running 1
runs 1
safe 1
said 1
sailors 2
same 1
sameness 1
sand 1
santora 1
saturday 1
saying 1
schoolkids 1
schools 1
screaming 1
sea 1
searching 1
second 1
section 1
see 1
seen 1
sees 2
sends 1
seriousness 1
service 1
servicemen 1
several 1
she 5
shoo 1
shot 1
show 1
shows 1
sick 1
similar 1
simpleminded 1
sister 1
sit 3
sitting 1
situation 2
sixteen 1
slothrop 1
small 1
smash 1
smoke 1
smoking 1
snodd 1
so 1
society 1
sodiumwater 1
solidify 1
someone 1
songs 1
sort 1
specialist 1
sphinx 1
spies 2
spy 1
squarcione 1
ss 1
starts 1
state 1
stationed 1
stay 2
staying 2
steadfastly 1
stolen 1
stops 1
stories 1
story 2
stream 1
streets 1
subsides 1
suburban 1
successfully 1
surveys 1
swapping 1
swarming 1
systems 1
take 1
taken 1
takes 1
talk 4
talked 1
tall 1
tapers 1
target 1
telling 1
tells 2
temperature 1
tendency 1
that 8
the 88
their 8
them 4
then 7
theorem 1
theorizes 1
theory 2
there 1
thermodynamics 1
they 11
thinking 3
thinks 2
this 5
three 3
through 2
thrown 1
tim 3
time 1
timeline 1
to 47
together 1
too 1
travel 1
trigger 1
trip 1
truck 1
try 1
trying 1
tunneling 1
turn 1
turning 1
two 2
uncertainty 1
unchanging 1
under 2
unexpected 1
until 2
up 8
upon 3
upper 1
vagrant 1
victoria 2
voice 1
walks 1
wanted 1
was 6
wasp 1
waxes 1
weekend 1
weekendlong 1
were 2
what 3
when 1
where 4
whether 1
which 2
while 3
whiskey 2
white 2
who 5
whorehouse 1
wife 1
will 1
wind 1
window 1
wine 1
winsome 1
with 12
woman 4
wonders 1
wont 1
woods 1
word 1
work 1
working 1
worse 1
wren 1
years 1
yjro 1
york 1
younger 1
