878356
/m/03l1bz
/m/03l1bz
David Brin
2002
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 18
across 1
actually 1
advancements 1
after 5
agree 1
albert 19
allowing 1
also 1
amplify 1
an 8
and 19
apparatus 2
are 3
as 4
ascend 1
assigned 1
attack 2
attempt 2
aware 1
away 1
beach 1
been 1
being 2
beta 2
bioweapons 1
blows 1
body 3
bomb 1
book 2
both 1
business 1
bust 1
but 2
by 3
cabin 1
captured 1
carrying 1
case 1
chased 1
chores 2
circumstances 1
city 2
claims 1
clara 1
comes 1
comotoselike 1
complete 1
constructed 1
continue 1
copy 2
copyright 1
criminal 1
damage 1
daughter 1
dead 1
deaths 1
decides 2
derived 1
desert 1
desirable 1
destroy 1
detective 1
died 1
disable 1
disappeared 1
discovered 1
disguised 1
disguises 1
displays 1
ditmaharal 3
ditto 6
dittomaking 1
dittos 6
do 2
doing 2
done 1
due 1
dupe 1
duplicating 2
ebony 1
eccentric 1
effectively 1
elevate 1
elevating 1
elevation 1
end 1
ends 1
engaged 1
eventually 1
existence 1
expire 1
extensively 1
factory 1
faithfully 1
fictional 1
fidelity 1
figure 1
figures 1
first 1
follows 1
for 1
forces 2
founders 1
four 1
frankenstein 1
frankie 5
from 1
fuel 1
gets 2
ghost 1
godhood 1
golems 1
gray 7
grays 1
green 10
has 3
have 2
he 10
heads 1
held 1
help 1
higher 1
him 1
himself 3
his 9
home 1
hours 1
however 1
if 1
illegally 1
imperfect 2
imprinted 1
imprints 1
in 9
indeed 1
independence 1
infiltrate 1
inload 1
instead 1
into 2
investigate 1
involved 1
is 9
it 3
join 1
just 1
kidnapping 1
kiln 1
kilns 2
lab 1
lack 1
later 1
latest 1
lead 1
leaving 1
legendary 1
life 1
lives 1
made 2
maharal 3
make 1
makes 3
manages 1
meanwhile 1
meets 3
memories 3
million 1
mind 1
minimize 1
monster 1
morning 1
morris 1
motivation 1
much 1
named 1
nearby 1
next 1
not 1
novel 1
occurrence 1
of 16
off 2
on 5
once 1
one 2
opens 1
or 2
original 2
out 1
over 1
own 1
people 1
personality 1
plan 1
plane 1
plans 1
plot 1
private 1
process 1
prominently 1
prowess 1
rabbi 1
rarely 1
rate 1
real 3
realizes 1
replacing 1
ritu 3
runs 1
safety 1
scheme 1
scientist 1
second 1
secret 1
see 1
seen 1
sends 1
shortly 1
slang 1
sleep 1
soon 2
spent 1
starts 1
state 1
stranded 1
survives 1
surviving 1
suspicious 1
tasks 1
technical 1
that 4
the 41
their 1
them 2
there 2
they 3
this 1
though 1
three 1
thugs 1
time 2
to 26
two 2
uk 2
under 1
universal 2
unknown 1
unprecedented 1
unusual 1
up 3
upload 1
use 1
used 1
uses 1
using 1
usually 1
violation 1
wanted 1
was 1
way 1
well 1
when 2
where 2
who 3
will 1
winds 1
with 5
withholding 1
word 1
work 1
world 1
would 1
yosil 3
