3765320
/m/09zt88
/m/09zt88
Aleksandr Solzhenitsyn

26 1
4day 1
a 3
able 1
about 1
alexander 1
all 1
and 5
any 1
army 7
at 1
august 1
back 1
badly 1
battle 2
battlefield 1
been 2
both 1
by 2
cannot 1
characters 1
colonel 2
comes 1
command 1
commander 2
communications 1
conditions 1
could 1
day 1
difference 1
distances 1
duke 2
earlier 1
east 1
elsewhere 1
episode 1
exactly 1
failures 1
famous 1
fill 1
find 2
first 1
follows 1
for 1
front 1
general 4
grand 2
great 2
happening 1
has 2
he 3
headquarters 2
help 1
his 1
historical 1
in 3
invading 1
involving 1
is 2
make 1
mind 1
mirror 1
mission 1
narrates 1
novel 2
numerous 1
of 8
officer 1
on 1
opening 1
other 1
out 4
outcome 1
plot 1
plots 1
poor 1
prepared 1
primarily 1
prussia 1
realize 1
regime 1
report 1
return 1
russian 4
same 1
samsonov 2
second 4
sent 4
side 1
so 3
staff 2
state 1
stays 1
suicide 1
supreme 1
tannenberg 1
that 1
the 21
then 1
this 1
those 1
time 1
to 10
tsarist 1
under 1
unprepared 1
version 1
vorotyntsev 3
voroyntsev 1
war 1
was 1
were 1
what 1
where 1
with 3
