1240269
/m/04lb36
/m/04lb36
James Fenimore Cooper
1823
{"/m/0hwxm": "Historical novel"}
a 3
advancing 1
an 2
and 7
argument 1
as 2
author 2
based 1
begin 1
begins 1
between 1
buck 1
bumpo 1
changes 1
chingachgook 2
closest 1
compete 1
conservation 1
cooper 3
dies 1
dying 1
edwards 1
elderly 1
elizabeth 2
environmental 1
eventually 1
exemplifying 1
father 1
features 1
fictional 1
figure 1
for 1
friend 1
frontier 1
hannah 1
his 1
hunter 1
indian 2
into 1
judge 3
killed 1
known 1
lake 1
leatherstocking 3
life 1
loyalties 1
many 1
marmaduke 1
marries 1
mohican 1
mysterious 1
natty 2
new 3
of 8
oliver 1
on 2
otsego 1
over 1
parallels 1
place 1
prevail 1
questions 1
rapidly 1
reviews 1
sister 1
state 1
stewardship 1
story 2
sunset 1
takes 1
temple 2
temples 1
templeton 2
that 1
the 14
to 2
use 1
vanishes 1
vexed 1
visitor 1
who 2
whose 1
william 1
with 2
york 3
young 2
