28833
/m/074g8
/m/074g8
Pearl Poet
2007
a 23
absolve 1
accept 1
accepts 2
across 1
admire 1
advances 1
adventure 3
adventures 1
after 1
again 4
agrees 1
all 4
alluded 1
also 2
an 4
and 33
angrily 1
anyone 1
appearance 1
appears 1
appointment 1
approaches 1
are 3
armour 1
arthur 6
as 7
ashamed 2
asks 1
assures 1
at 10
away 2
axe 5
bared 1
bares 1
bargain 2
battles 1
be 1
bears 1
beautiful 1
bedroom 1
before 3
begs 1
behaved 1
behaves 1
beheads 1
belittles 1
belong 1
belt 1
bends 2
bertilak 9
best 1
blame 1
bleeding 1
blow 4
boar 1
bough 1
brink 1
but 13
by 2
camelot 2
castle 5
catches 1
causing 1
challenge 1
chapel 5
charmed 1
christmas 1
come 1
comes 3
condition 2
cordial 1
court 1
courteously 1
cowardly 1
dare 1
date 1
day 7
days 1
de 2
deceitfully 1
decide 1
deer 1
defend 1
deliver 1
described 1
despite 1
die 1
divulging 1
does 2
during 1
efforts 1
elderly 1
encourage 1
entire 1
entirely 1
evening 1
exchange 2
exchanges 1
exchanging 1
exciting 1
explains 3
failure 1
falls 1
falters 1
fay 1
feasting 1
few 1
fight 1
figure 1
find 1
finds 1
first 2
flinch 1
flinches 1
foils 1
follow 1
for 7
force 1
fox 1
free 1
friendly 1
from 3
full 1
further 1
gain 1
game 3
gawain 31
gently 1
giant 1
gifts 1
gigantic 1
girdle 4
give 2
gives 2
going 1
gold 2
grateful 1
great 1
green 16
grounds 1
guest 2
guinevere 3
hall 1
hand 1
hang 1
harm 2
has 3
hautdesert 2
have 2
having 1
he 19
head 2
hear 1
heard 1
helmet 1
henceforth 1
her 5
him 11
himself 4
his 19
holding 1
holly 1
honour 2
horse 1
however 1
hunted 1
hunting 1
in 9
insists 1
instead 1
intended 1
into 1
is 12
it 4
its 2
joking 1
keep 3
keepsake 1
killed 1
king 2
kiss 2
kisses 3
knight 10
knights 3
lady 5
laughing 1
laughs 2
le 1
least 1
leaves 2
less 1
lightly 1
lips 1
lord 2
magic 1
many 1
matter 1
may 2
meet 1
meets 1
might 1
miles 1
more 1
morgan 1
morning 1
must 1
neatly 1
neck 3
neither 1
nephew 1
nerve 1
new 2
next 5
no 2
nor 1
not 2
nothing 2
now 1
of 17
off 1
offend 1
offering 1
old 1
on 10
once 3
one 2
only 2
or 1
other 2
otherwise 1
out 1
over 1
part 1
physical 1
picks 1
playful 1
pleads 1
pleased 1
prepared 1
present 1
promise 1
promised 1
proposes 2
queen 1
quickly 1
reaches 1
receive 1
recognition 1
refuses 1
refusing 1
relieved 1
remaining 1
remind 1
remounts 1
renowned 1
rest 1
return 1
returns 3
reveals 1
rides 2
riding 1
ring 1
round 2
rules 1
sash 1
saw 1
says 1
scruples 1
seductively 1
see 1
seizes 1
sets 1
severed 1
shame 1
sharpening 1
she 2
shield 1
silk 1
similar 1
single 1
sir 2
sister 1
slight 1
slightly 1
so 1
softly 1
someone 1
sorceress 1
source 1
splendid 2
start 1
starvation 1
steadfastly 1
story 1
strike 1
striking 1
stroke 1
such 1
swing 2
sword 1
table 1
take 2
takes 1
tells 2
tempted 1
terms 1
terrify 1
test 1
testing 1
than 1
that 10
the 60
them 1
then 1
there 2
they 2
third 1
this 2
three 2
till 1
time 1
to 22
together 1
token 1
too 1
transformed 1
treat 1
treated 1
trick 1
trophy 1
twice 1
two 4
ugly 1
unexpectedly 1
unnamed 1
until 1
unwillingness 1
up 3
visits 1
waist 1
waiting 1
was 2
weak 1
wear 1
wearing 1
wears 1
whatever 2
when 3
where 1
which 2
while 1
who 3
whoever 1
whole 1
wife 1
will 5
with 5
withheld 1
without 1
wound 2
writhing 1
year 3
yields 1
youngest 1
