30834797
/m/0gfgyzy
/m/0gfgyzy
Edith Pargeter
1987
{"/m/02n4kr": "Mystery"}
10 2
1141 1
1142 2
12 1
18 1
5 1
a 67
abbey 27
abbot 16
abeyance 1
about 4
above 1
absence 2
accept 1
acquaintance 1
act 1
acted 1
add 1
adjacent 1
admits 1
after 11
again 1
against 1
age 2
ages 1
agree 2
ahead 1
aid 2
aimed 1
alan 3
alarmed 1
all 8
allow 1
allowed 1
ally 2
almost 1
alms 1
already 1
also 3
altar 1
always 1
among 1
an 1
and 53
angry 1
animals 2
annet 9
another 2
answer 1
anticipated 1
any 1
anyone 1
apart 1
appreciates 1
approached 1
are 7
area 1
arrive 1
arrives 3
as 25
ash 1
ask 3
asking 3
asks 5
assart 1
assured 1
astley 11
at 38
attacking 1
audience 1
avail 1
avoids 1
aware 1
away 2
aymer 7
back 10
bad 1
baringar 1
battle 1
be 3
bear 1
bearing 1
bears 1
beat 1
became 2
because 1
bed 1
beeches 1
been 8
before 10
beggar 1
begins 1
being 2
believe 1
believed 1
beringar 6
best 3
between 2
blackmail 1
blood 4
body 3
bosiet 8
bosiets 1
both 4
bound 1
bourchier 4
bourchierthought 1
bow 1
box 2
boy 11
brand 2
brave 1
breviary 3
brian 3
bride 1
briefly 1
bring 2
brings 1
broken 3
brother 8
brothers 2
brought 1
brown 1
burial 1
but 6
by 15
cadfael 42
calculations 1
called 1
calling 1
calls 1
can 6
cannot 4
care 1
carefully 1
carried 1
carries 1
carry 1
carrying 1
casket 2
castle 2
cell 1
ceremony 4
chance 3
chanced 1
chapel 4
chapter 2
charge 2
charges 1
charter 1
chase 2
chases 1
cheat 1
check 1
chess 1
choose 1
chores 1
circumstance 1
clean 1
clear 3
closer 1
clothing 1
clue 1
clues 1
cluniac 1
code 1
coin 1
coins 1
coldly 1
colour 1
come 4
coming 1
committed 1
confesses 1
confirms 1
conflict 2
confrontation 1
consult 1
contact 1
continue 1
control 1
conversation 4
coolly 1
copper 1
corpse 2
cottage 2
could 2
courtyard 2
coventry 1
crime 1
crowd 1
crutches 1
cut 1
cuthred 17
cuthredbourchier 1
daggers 1
damage 2
damaged 1
dame 6
daring 1
darkness 1
daughter 3
day 12
daylight 1
days 4
de 2
dead 5
death 1
deaths 1
decides 2
decision 1
deer 1
defiant 1
deliberate 1
delighted 1
deliver 1
densely 1
describes 1
description 1
destination 1
dice 1
did 3
died 3
differently 1
dinner 1
dionisia 6
discovery 1
dishonor 1
distrained 1
disused 1
divorcethese 1
does 7
doing 1
done 1
doors 1
down 1
dramatically 1
dressed 2
drew 2
drogo 14
during 1
duties 1
eager 1
earl 1
eaton 5
educated 2
education 1
eilmund 14
either 1
else 1
empress 7
empty 2
en 2
encounters 2
end 2
ended 1
england 1
enter 1
enters 2
errand 1
escape 1
escaped 1
escorted 1
estate 1
estates 3
even 2
evening 3
events 2
ever 1
everything 1
excelled 1
except 1
explained 1
eyton 6
face 3
facts 1
fair 2
faith 1
falconer 1
fallen 1
falls 1
family 1
far 1
farewell 1
fast 1
father 14
fears 1
february 1
feels 1
few 2
fight 2
find 2
finding 1
finds 3
fine 3
first 5
fitz 3
fitzcount 2
five 1
fled 2
foaming 1
focus 1
folks 1
follow 2
followed 1
foot 2
for 36
forcefully 1
forest 12
forester 2
form 1
former 1
fouler 1
found 5
france 2
free 2
friend 3
friends 1
frightened 1
from 14
front 1
frustration 1
fulke 2
full 4
funeral 1
further 1
future 1
gaining 1
garden 1
gates 1
gathered 1
genville 2
girl 2
give 1
given 1
gloucester 1
go 2
goal 2
goes 1
good 2
goose 1
grabs 1
grandmother 3
grandson 1
grateful 1
grazing 1
greatest 1
greedy 1
grey 1
groom 5
group 2
guardian 1
guest 2
guests 1
guilt 1
habit 1
had 9
hair 2
hand 2
hands 1
happening 1
harder 1
harsh 1
has 10
hatch 1
hate 1
have 3
he 63
head 1
heading 1
heads 1
healing 1
hearing 2
hears 2
height 1
held 1
help 1
helped 1
helper 6
helps 1
her 18
herbarium 2
hermit 20
hermitage 6
hidden 1
hides 1
hiding 1
hiltrude 3
him 35
himself 2
his 56
holding 1
holy 1
home 3
honest 1
honour 3
hope 1
hopes 1
hoping 1
horror 1
horse 10
horseback 2
hours 1
how 6
hugh 26
hunt 2
hunting 2
husband 1
hut 1
hyacinth 40
i 3
if 4
image 1
immediate 1
immediately 2
implicate 1
in 67
inclined 2
including 1
increasing 1
informing 1
informs 2
inherit 1
inheritance 1
innocence 1
innocent 1
inspect 1
inspecting 1
instead 1
insult 1
intended 1
interest 1
interior 1
into 2
introduces 1
investigation 1
inviting 1
is 66
issues 1
it 7
its 1
jerome 4
jewels 1
john 2
join 1
just 2
keep 1
keeping 1
kidnapping 1
killed 2
kind 1
kindly 1
king 6
knew 3
knife 7
knowing 1
known 1
knows 5
land 1
lands 4
large 1
last 1
later 1
latest 1
law 1
learn 1
learning 1
learns 1
least 1
leather 2
leave 3
leaves 2
leaving 4
led 1
left 3
leg 1
legs 1
leighton 3
less 1
let 1
letter 2
lies 1
light 1
like 1
likely 1
likes 1
lincoln 1
linked 1
litter 1
live 1
living 1
local 3
locked 1
long 2
longer 1
longwood 2
looks 3
lord 8
lovers 1
loves 1
loyal 1
loyalties 1
ludel 2
lure 1
lying 1
made 3
main 1
make 2
making 4
man 12
manhunt 6
manor 8
manors 1
manseal 1
marriage 4
marry 2
matins 1
maud 2
may 1
me 1
meal 1
meet 3
meeting 4
meets 3
men 4
messenger 5
met 3
midday 1
midst 1
might 1
missing 4
moment 1
money 1
months 1
moonlit 1
more 2
morning 4
mortuary 1
most 1
mother 1
motive 1
moved 1
much 1
muchsought 1
murder 7
murderer 4
muting 1
my 2
mysteries 3
mystery 1
name 2
named 1
near 1
need 2
needed 1
neither 1
never 1
new 4
newest 1
news 5
next 7
night 2
no 16
nor 2
norman 1
normandy 1
northampton 1
northamptonshire 1
not 25
noted 1
notes 1
notice 1
notices 2
notifies 1
november 1
now 4
observe 1
october 2
odd 2
of 73
off 6
old 2
on 25
once 1
one 11
only 4
onto 1
open 2
opening 1
opens 1
opportunities 1
or 1
orderly 1
orphan 1
orphaned 1
other 1
otherwise 1
out 5
over 2
overheard 1
overhears 1
overlord 2
overworked 1
own 4
owned 1
owner 1
oxford 3
pace 1
pact 1
pain 1
papers 1
passes 1
path 1
patient 1
paul 2
pay 1
person 1
personal 1
persuaded 1
persuades 1
place 1
places 1
plan 5
plans 1
plants 1
played 1
pocket 1
pony 5
power 2
practically 1
precisely 1
prepare 1
present 1
preserved 1
priest 7
prime 1
priory 2
private 1
privately 1
promise 1
promises 1
proper 1
property 1
punishment 1
pursue 1
pursued 1
pursuit 2
push 1
puts 1
putting 1
questions 3
quietly 1
radulfus 6
rafe 19
raised 1
ran 1
rapidly 1
raping 1
rapt 1
rather 1
read 1
realisation 1
realising 1
realizing 1
reason 2
reasoning 1
recent 1
recognizes 1
recoils 1
recommends 1
reddish 1
refused 1
reliquary 1
relying 1
remains 1
renaud 2
reports 3
request 1
resemblance 1
residence 2
resolve 2
resolved 1
respect 1
response 1
responsible 1
rest 1
restore 1
return 1
returned 2
returning 2
returns 2
reveal 1
revealing 1
revenged 1
reviewing 1
richard 37
ride 5
rider 1
rides 3
riding 3
right 2
righteous 1
rightly 1
ring 1
risk 2
river 1
robert 2
rode 1
role 2
roll 1
rolling 1
room 3
route 2
rumoured 1
run 3
runs 1
saddened 1
saddle 1
saddlebags 1
safe 1
same 4
saving 1
savour 1
says 7
scene 3
school 1
search 4
searched 1
searching 1
second 2
secret 2
secrets 1
section 1
see 2
seeing 2
seek 2
seeking 1
seeks 4
seen 1
send 1
sends 1
sense 1
sent 3
september 2
servant 1
services 1
set 4
sets 2
shake 1
shared 1
shares 2
she 10
sheep 1
sheriff 4
shortly 1
shouts 1
shows 1
shrewsbury 2
shutter 1
side 1
siege 3
sight 2
sign 2
silent 1
sin 1
since 3
sins 1
sir 1
skilled 1
slain 1
slips 1
small 3
so 7
solved 1
solving 1
some 4
someone 1
son 8
sought 5
speak 2
spent 1
spots 1
sprawled 1
stabbed 1
stable 1
stabling 1
stand 1
state 1
stayed 1
stephen 5
steps 1
steward 4
still 1
stir 1
stole 1
stolen 1
stopped 2
story 2
stranger 1
strangers 1
strongest 1
struck 2
style 1
such 1
sufficient 1
suggesting 1
supporter 1
surprise 1
survival 1
suspected 2
suspects 1
suspicious 1
sword 1
take 2
taken 1
takes 4
taking 1
talk 3
talks 1
task 1
tell 4
tells 9
tend 1
tested 1
thame 1
than 3
that 33
the 271
their 7
then 5
there 2
these 3
they 11
thievery 1
think 1
this 8
those 1
though 2
threat 3
three 2
through 2
thus 1
tied 1
time 5
tip 1
to 101
together 1
told 1
too 1
took 1
topic 1
town 2
trade 1
transform 1
travelling 1
treason 1
treat 1
treated 1
treatment 1
tree 2
trees 1
trouble 1
true 2
trust 1
trusted 1
truthfully 1
twilight 1
two 11
unconvinced 1
uncover 1
under 1
undermined 1
unexpectedly 1
unhappy 1
united 1
unsuccessfully 1
until 4
unusual 1
up 6
upheld 1
upon 2
used 1
useful 1
using 1
usual 1
valued 1
vanishes 1
vassal 1
venture 2
very 2
vespers 4
view 2
views 1
vigorous 1
villein 6
visited 1
visits 1
voluble 1
waited 1
waits 1
wales 1
walked 1
wallingford 2
want 2
wants 4
wareham 1
warin 2
warn 2
warning 1
warwick 1
was 20
way 1
weapons 2
well 3
were 3
what 10
when 9
where 5
whereabouts 1
which 3
while 2
whispers 1
who 12
whose 3
why 2
wife 1
wild 1
will 7
william 1
willow 2
wiped 1
wish 1
with 28
without 2
woman 1
wood 1
wooded 1
wore 1
work 2
worker 1
would 2
wound 2
wounds 1
writ 1
wroxeter 2
yards 1
year 1
years 2
yelled 1
yet 3
you 3
young 8
