9025839
/m/027tz5b
/m/027tz5b
Sean McMullen

a 1
artificial 1
assisting 1
centurion 2
concotion 1
continues 1
control 1
defending 1
developed 1
doing 1
du 1
emerges 1
enters 1
for 1
frlempire 1
from 2
future 1
he 1
hibernation 1
him 1
history 1
in 1
injuring 1
insects 1
into 3
is 2
locals 1
many 1
multiple 1
not 1
novel 1
of 2
organizations 1
outside 1
periods 2
roman 1
several 1
severely 1
snowdwelling 1
so 1
suspension 1
the 6
themselves 1
threats 1
through 1
throughout 1
times 1
unfortunately 1
various 1
vie 1
vitellan 3
well 1
where 1
