12804055
/m/02x5mr1
/m/02x5mr1
Steve Martin
2000-10-11
a 2
also 1
and 4
are 1
at 1
attempts 1
being 1
beverly 1
buttersfield 1
buys 1
by 1
cats 1
character 1
coworker 1
depressed 1
dysfunctional 1
evening 1
evenings 1
ever 1
expensive 1
father 1
forge 1
gloves 1
her 5
hills 1
imageobsessed 1
in 2
inept 1
is 1
its 1
jeremy 1
life 1
lisa 1
lonely 1
marcus 1
middleaged 1
millionaire 1
mirabelle 1
neiman 1
nobody 1
playing 1
porter 1
promiscuous 1
pursued 1
ray 1
relationship 1
rival 1
roles 1
seattle 1
sells 1
she 1
slacker 1
socially 1
spends 1
television 1
titular 1
to 1
transplant 1
two 1
unambitious 1
vermont 1
veteran 1
vietnam 1
voracious 1
war 1
watching 1
while 1
who 1
with 2
womanizing 1
young 1
