11546435
/m/02rhnbl
/m/02rhnbl
Chika Onyeani
2000

17 1
2000 1
a 4
according 1
afraid 1
and 4
answer 1
are 3
as 2
asian 1
asserts 1
attitude 1
author 3
because 1
believe 1
black 2
blacks 1
both 1
but 1
call 1
capitalist 1
caucasian 1
chika 1
clothing 1
communities 1
conquered 1
consumer 1
culture 1
depends 1
despite 1
devilmaycare 1
doctrine 1
economic 2
enormous 1
feeding 1
foolish 1
for 2
he 1
i 1
in 1
independent 1
is 4
it 2
its 4
killerinstinct 1
lack 1
language 1
matters 1
me 1
mentality 1
most 1
natural 1
nigger 2
not 3
of 2
on 1
onyeani 1
or 1
other 1
pejorative 1
productive 1
publishers 1
race 5
resources 1
road 1
says 2
senses 1
september 1
slaves 1
spider 2
stereotypic 1
success 1
that 3
the 11
they 1
timbuktu 1
to 5
us 1
use 1
utterly 1
we 2
web 2
well 1
what 2
word 1
you 1
