19782454
/m/04q367q
/m/04q367q
Patricia Cornwell
1998
{"/m/0lsxr": "Crime Fiction"}
a 7
agency 1
and 3
as 1
at 1
atf 1
been 1
begun 1
body 1
but 1
by 1
called 1
carrie 3
chief 1
closest 1
come 1
communicate 1
companion 1
consulting 1
conveying 1
crypticplans 1
deadlyif 1
destination 1
destroyed 2
dr 1
end 1
enforcement 1
escaped 1
examiner 1
farmhouse 1
federal 1
finds 1
fire 2
for 4
forensic 1
from 1
grethen 1
grisly 1
has 5
her 5
his 1
hospital 1
house 1
in 2
is 3
kay 1
killer 1
law 1
life 1
linked 1
lives 1
medical 1
murder 1
nearly 1
new 1
not 1
of 5
out 1
pathologist 1
psychiatric 1
pursuit 1
revenge 1
ruins 1
sadistic 1
same 1
scarpetta 4
she 1
slayings 1
story 1
tells 1
that 2
the 6
those 1
time 1
to 4
ultimate 1
unknown 1
up 1
violent 1
virginia 2
whereabouts 1
who 1
willing 1
with 2
