3172541
/m/08w_6x
/m/08w_6x
Diana Gabaldon
1992-07-01
1745 1
a 4
abandoned 1
abbey 1
about 1
absence 1
after 8
aftermath 1
again 1
against 2
agrees 1
allow 1
also 2
amber 1
an 1
and 26
anges 1
announcing 1
are 3
aristocracy 1
army 1
arrival 1
as 5
asked 2
at 8
attempt 1
away 1
baby 1
back 2
bastille 1
battle 5
be 1
been 1
before 1
begin 1
begun 1
believe 3
bloody 1
bois 1
bonnie 2
boulogne 1
bourgeoisie 1
breaking 1
brianna 5
brnsten 1
business 2
but 4
by 2
carrying 2
challenges 1
charles 4
charlie 1
child 3
churchyard 1
circle 1
claire 22
condition 1
convinced 1
cousin 1
craig 1
crime 1
crimes 1
culloden 6
culminates 1
daughter 1
de 1
death 1
des 1
desperate 1
despite 1
develops 1
didnt 1
die 2
died 1
disappearance 1
disastrous 1
discovering 1
do 1
does 1
doesnt 1
dougal 1
dragonfly 1
duel 2
dueling 1
dun 1
duncan 1
duncangillian 1
during 1
edgars 1
edward 1
end 2
ends 3
enlists 1
escape 1
everything 1
family 1
farm 1
father 1
fight 3
figuratively 1
find 1
flashback 1
flashes 1
follow 1
for 5
forces 1
fortunately 1
france 1
frank 2
fraser 3
free 1
french 3
from 4
future 1
gathers 1
geilie 2
get 1
goes 1
grandson 1
gravestone 1
great 2
had 3
happened 1
has 2
he 7
heads 1
help 1
her 12
him 5
his 10
home 1
hoping 1
however 3
husband 1
i 1
illness 1
impotent 1
in 11
informing 1
intending 1
interrupted 1
inverness 1
is 8
jack 1
jacobite 2
jacobites 2
jamie 20
jared 2
jenny 1
join 1
kill 1
king 1
knowing 1
known 1
knows 1
lallybroch 3
learn 1
learning 1
learns 1
leave 2
leaving 1
lengthy 1
letter 2
lhpital 1
life 2
literally 1
lived 1
lives 1
loses 1
louis 1
man 1
manages 1
many 2
meetings 1
members 1
men 2
mentally 1
money 1
must 1
na 1
naar 1
name 1
news 1
nlterugkeer 1
no 2
novel 1
of 17
old 1
on 1
once 1
one 1
only 1
opens 1
option 1
order 1
outlander 2
own 1
pardoned 1
parentage 1
paris 3
paternity 1
placed 1
plot 1
possible 1
pregnant 1
prestonpans 1
previous 1
prince 2
prison 2
promising 1
randall 3
reader 1
rebellion 1
receives 1
recover 1
recovering 1
refused 1
refuses 1
relatives 1
release 1
renders 1
retake 1
returned 1
returns 2
revealing 1
rising 3
roger 3
running 2
sail 1
scotland 4
scots 1
secures 1
seeing 1
sending 1
sent 1
settle 1
she 7
should 1
since 1
sister 1
slaughter 1
so 2
society 1
soon 2
spare 3
sterile 1
stone 1
stones 2
stop 2
story 2
stuart 4
stuarts 1
supporters 1
suspecting 1
svslnda 1
taken 1
takes 1
tell 1
tells 1
that 9
the 45
their 1
then 1
there 1
they 7
thinking 1
though 1
thought 1
throne 1
through 3
tide 1
time 2
to 34
told 1
travel 2
true 2
truth 1
trying 1
turns 1
twentyyear 1
unstable 1
up 1
wakefield 1
was 4
we 1
well 1
welltodo 1
wentworth 1
what 1
when 2
where 3
while 1
who 1
why 1
win 2
wine 2
with 5
witness 1
witnesses 1
wont 2
work 1
would 2
wound 1
xv 1
