159929
/m/0153hd
/m/0153hd
George Cockcroft
1971
{"/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
a 5
about 1
along 1
also 1
and 5
around 1
as 1
based 1
being 1
book 1
bored 1
breakouts 1
by 1
corporate 1
cult 1
decisions 1
description 1
develop 1
dice 2
do 1
fear 1
feeling 1
for 1
fuck 1
fun 1
governmental 1
he 1
in 1
initiates 1
into 1
is 2
life 1
luke 1
machines 1
making 1
man 1
murder 1
named 1
of 3
on 1
parties 1
patients 1
profit 1
program 1
psychiatric 1
psychiatrist 1
psychological 1
put 1
rape 1
research 1
rhinehart 1
roll 1
sex 1
spin 1
starts 2
story 1
such 1
tells 1
that 1
the 7
there 2
to 2
unfulfilled 1
various 1
way 1
what 1
who 1
without 1
