3603678
/m/09pb14
/m/09pb14

2000-08-01
{"/m/03npn": "Horror"}
a 6
absalom 1
after 1
all 1
and 7
angel 3
are 2
at 1
been 1
before 2
believes 1
bones 1
buffy 3
by 7
cameron 2
child 1
come 1
comes 1
continually 1
crazy 1
crew 1
dad 1
daughter 1
dead 1
deal 1
death 3
deaths 2
decide 1
decides 1
disappear 1
do 1
dokey 2
enemy 1
everyone 1
fashion 1
followers 1
for 1
fortuneteller 1
free 2
from 3
general 3
gets 1
giles 4
grave 1
has 2
have 1
he 1
heads 1
her 6
his 2
holder 1
house 1
ii 1
in 3
infiltrated 1
into 1
isnt 1
it 3
jenny 3
kept 1
know 1
la 2
legion 1
little 1
local 1
love 1
master 1
michelle 1
mind 1
must 4
mystery 1
nancy 1
navarro 1
newly 1
night 1
obtain 1
of 6
on 2
others 1
out 1
own 1
paul 1
play 2
rages 1
raises 1
remove 1
risen 1
ruditis 1
running 1
runs 1
sagara 1
sam 2
sees 1
seize 1
sent 1
several 1
shakespeare 1
shakespearian 1
shapeshifter 1
she 4
shopping 1
since 1
slayer 1
solve 1
spend 1
spirit 2
stage 1
still 1
stop 1
summer 1
sunnydale 1
sure 1
tells 1
terms 1
that 3
the 17
theater 1
them 1
they 1
threat 1
to 9
touches 1
town 1
tries 1
vacation 1
vampire 2
vampires 1
veteran 1
war 2
warrior 1
west 1
while 2
who 3
why 1
will 1
willow 1
with 3
world 1
written 6
xander 1
yvonne 1
zombie 1
