2680403
/m/07xjf4
/m/07xjf4
Rabindranath Tagore
1916
{"/m/012jgz": "Autobiographical novel", "/m/02xlf": "Fiction"}
20th 1
a 14
across 1
actions 1
active 1
after 2
always 1
ambition 1
amulya 1
and 14
another 1
appearance 1
appreciation 1
are 1
arranged 1
as 7
at 2
attraction 1
attracts 1
becomes 2
begins 2
belongs 1
bengali 1
between 1
bimala 9
both 2
british 1
bullet 1
but 1
by 4
century 1
charismatic 1
children 1
choose 1
city 1
claims 1
complexion 1
considered 1
contradiction 1
contradictory 1
convinced 1
country 1
danger 1
darker 1
dedicated 1
denying 1
develops 1
dies 1
discovers 1
drawn 1
duty 1
early 1
easily 1
empowered 1
ends 1
engaged 1
equally 1
estate 2
everything 2
experiences 1
family 1
finds 1
first 1
fleeing 1
follower 1
for 1
freedom 1
friend 1
from 2
garnered 1
girl 1
grants 1
grow 1
has 2
he 2
head 1
headquarters 1
hearing 1
heart 1
help 1
helps 1
her 9
hers 1
hint 1
his 7
home 1
house 1
husband 2
idyllic 1
if 1
in 9
indeed 1
india 1
indian 1
inevitable 1
influential 1
innocent 1
inside 1
insists 1
intentions 1
is 9
it 3
knowing 1
lie 1
life 1
local 1
love 3
loves 1
lower 1
make 1
man 2
marriage 2
marries 1
meanwhile 1
money 2
mortally 1
motivation 1
movement 3
national 1
natives 1
nature 1
nikhil 6
nikhils 2
no 1
not 1
novel 3
of 9
once 1
one 1
only 1
outside 1
part 1
passion 1
passionate 1
passive 1
peaceloving 1
pleasing 1
producing 1
province 1
question 1
radical 1
rally 1
really 1
renewed 1
resulting 1
revolutionist 1
riot 1
sandip 11
sandips 1
set 1
she 8
since 1
sister 1
somewhat 1
son 1
sought 1
speak 1
speech 1
status 1
stealing 1
subsequently 1
suggests 1
support 2
swadeshi 2
taking 1
that 3
the 19
their 4
then 1
thinks 1
through 1
time 1
to 8
traditions 1
treasury 1
triangle 1
true 1
two 1
ultimately 1
understand 1
unsuspecting 1
until 1
visit 1
visiting 1
wants 1
was 2
well 1
what 2
when 1
which 2
while 3
who 3
whom 1
with 4
woman 1
working 1
world 2
wounded 1
young 2
zamindar 1
zeal 1
