15967014
/m/03qjh54
/m/03qjh54
Victor Appleton
1910
500 1
a 3
adjustments 1
against 1
also 1
an 1
and 3
as 1
bank 2
bankrupt 1
before 2
behind 1
best 1
but 2
car 1
cars 1
criminals 1
days 1
discovers 1
drivers 1
electric 1
else 1
enters 1
everyone 1
family 1
final 1
he 3
himself 1
his 2
in 1
is 1
local 1
makes 1
mile 1
must 1
mystery 1
nefarious 1
not 1
of 2
on 2
only 1
plot 2
preparations 1
prototype 1
race 4
relies 1
run 1
scheme 1
skilled 1
solve 1
some 1
speciallydesigned 1
states 1
stop 1
swift 1
target 1
test 1
that 2
the 9
tom 2
united 1
upcoming 1
which 1
will 1
with 1
would 1
