17504105
/m/04ctm2f
/m/04ctm2f
Lauren Child
2002-05-23
a 10
an 1
and 4
any 2
are 1
as 2
asking 1
be 1
by 2
cat 3
chinchilla 1
could 1
display 1
doesnt 2
end 2
eyesight 1
finally 1
for 1
friends 1
from 1
goes 1
he 7
him 2
his 1
home 1
however 1
if 1
in 3
including 1
is 3
life 2
like 1
likes 1
live 2
man 1
mind 1
mistakes 1
narrated 1
of 2
old 1
one 1
pet 4
pets 1
poor 1
pretending 1
proper 2
puts 1
rat 3
says 1
sees 1
several 1
signs 1
store 2
story 1
taken 1
that 2
the 8
them 1
there 1
to 2
up 1
visits 1
wants 1
way 1
who 3
window 1
wishes 1
with 1
