5768015
/m/0f3m3w
/m/0f3m3w
Agatha Christie

{"/m/02n4kr": "Mystery", "/m/028v3": "Detective fiction", "/m/0707q": "Short story", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
a 5
after 1
allows 1
always 1
an 3
and 4
are 4
armchairthe 1
as 4
asks 1
at 2
book 1
by 4
caught 1
christie 2
clithering 3
club 2
collections 1
comfort 1
company 1
crime 1
criminals 1
death 2
dinner 2
drowning 1
dumbstuck 1
each 2
eg 1
employs 2
episodic 1
every 1
excommissioner 1
finds 1
first 1
from 2
game 1
gathering 1
girl 1
group 1
guessing 1
guests 1
help 1
henry 2
her 5
him 2
house 1
how 1
in 7
incident 1
interrelate 1
investigation 1
invited 1
is 3
like 1
making 1
manages 1
marple 6
mary 1
mead 1
miss 6
more 2
mystery 2
narrative 2
next 1
night 2
novel 1
occur 1
of 14
once 1
one 1
or 1
other 2
others 1
out 2
overarching 1
own 1
part 1
partners 1
party 2
people 1
place 1
pointing 1
random 1
relating 1
request 1
resolve 1
result 1
scotland 1
set 2
sets 1
short 1
similar 1
sir 2
six 2
skill 1
small 1
solve 1
solved 1
some 3
st 1
staying 1
stories 1
story 3
surrounding 1
takes 1
tales 1
tell 1
that 2
the 18
them 1
themselves 1
there 1
they 1
thirteenth 1
this 2
though 1
three 1
thrilling 1
time 1
to 5
told 1
triumphs 1
tuesday 2
usually 1
village 2
week 1
were 1
when 1
which 1
with 1
yard 1
