376862
/m/02137n
/m/02137n
Chaim Potok
1967-06
{"/m/014dfn": "Speculative fiction", "/m/0dwly": "Children's literature", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
1 1
144 1
a 29
about 6
acceptance 1
accepted 1
advice 1
after 5
again 1
against 2
allowed 1
alone 1
already 2
also 1
an 4
and 21
angered 1
anguish 1
another 1
anymore 1
apologizes 1
are 5
as 12
asking 1
astonished 1
at 4
attack 1
attempts 1
back 1
backdrop 1
ball 1
ban 1
batting 1
be 7
beauty 1
become 3
been 3
before 1
beginning 1
being 3
best 1
between 4
blessing 1
book 1
books 1
both 2
boys 1
breaks 1
bringing 1
brooklyn 1
brother 1
brought 1
buffer 2
burst 1
but 2
by 5
can 1
cares 1
caused 1
century 1
changed 1
chap 1
chosen 1
city 1
climax 1
clothing 1
college 1
columbia 2
come 2
comes 1
compassion 1
compels 1
completely 1
conflict 1
congregation 1
consolation 1
conversations 1
cope 1
creation 1
cultures 1
danny 26
date 1
dawning 1
day 1
death 1
decided 1
deep 1
deepest 1
deeply 1
definitely 1
depression 1
desires 1
despite 1
did 1
difference 1
difficult 1
disapproves 1
discovered 2
does 4
dream 1
drive 1
during 2
early 1
easy 1
emotionally 1
end 1
establish 1
europe 1
even 3
events 1
except 1
expected 1
experience 1
experiences 1
explains 1
eye 1
fact 1
family 1
far 1
father 17
favorably 1
fear 1
field 1
fifteen 1
finally 3
find 1
finding 1
finds 2
first 2
following 1
for 10
forbids 1
forces 1
forgive 1
founded 1
free 1
freud 1
friend 3
friends 2
friendship 2
from 2
game 1
german 1
give 1
glasses 1
go 1
goes 1
going 1
graduation 1
great 2
grownup 1
had 2
has 8
hasidic 1
having 1
he 25
heart 2
him 15
himself 3
his 35
historical 1
hit 1
hits 1
holocaust 1
hospital 2
i 2
if 1
ii 1
important 1
imposed 1
impresses 2
in 19
incurs 1
indeed 1
inherit 1
injured 1
injuries 1
instead 1
intelligence 1
into 3
is 15
israel 2
issue 1
it 4
jewish 3
just 1
kill 1
know 2
knowledge 1
known 1
knows 1
lasts 1
law 2
leader 1
learn 4
learning 1
learns 3
leaves 1
let 1
letter 1
levi 1
library 1
life 2
line 1
locks 1
longer 1
makes 2
malter 1
man 4
many 1
meaning 1
meet 2
men 1
mention 1
met 1
middle 1
midtwentieth 1
mind 1
modern 1
mr 1
must 1
my 1
name 1
nation 2
new 2
newspapers 1
no 1
not 4
novel 1
now 1
of 24
offering 1
old 1
older 1
on 4
once 1
one 1
only 2
opposes 1
or 1
order 1
other 2
others 1
otherwise 1
out 2
outstripping 1
over 2
own 2
pain 5
palestine 1
particularly 1
people 3
period 1
permitted 1
phenomenal 1
pitchers 1
pitches 1
place 2
plays 1
position 3
president 1
previous 1
problems 1
profoundly 1
proisrael 1
protagonists 1
psychologist 2
psychology 2
public 1
purpose 1
put 1
quietly 1
rabbi 3
rage 1
raised 1
raising 1
rally 1
rather 1
read 3
reading 1
reb 15
receives 2
recommending 1
recovering 2
relationship 1
relented 1
religious 1
reputation 1
respected 1
resumes 1
reuven 29
revealed 1
revelation 1
rivals 1
role 1
room 1
roosevelt 1
saunders 18
saunderses 1
says 2
school 1
second 1
secret 2
sect 1
secular 2
seek 1
sees 1
sending 1
sense 1
sent 1
set 3
shattering 1
shorn 1
shut 1
silence 6
since 2
six 1
so 3
softball 1
son 9
soul 1
source 1
spare 1
speak 2
speaks 1
speech 1
speeding 1
spends 1
spiritual 1
spoken 1
state 1
stays 1
story 1
struggle 2
studies 1
study 3
studying 1
style 1
succeed 1
successor 1
such 1
suffers 1
take 1
takes 1
talk 1
talks 2
taste 1
teacher 1
teams 1
tears 1
tell 2
tells 4
ten 1
terms 1
than 2
that 13
the 47
their 4
then 1
there 1
they 2
think 1
this 4
though 3
time 5
to 43
together 2
told 1
toward 1
tradition 1
true 1
truly 2
trying 1
turn 1
turns 2
two 4
tzadik 1
understand 2
understanding 1
university 2
unsuccessful 1
up 4
vehemently 1
very 1
visits 2
voraciously 1
waits 1
want 1
wanted 1
wants 2
war 2
was 3
way 1
we 1
welcomes 1
well 1
when 9
which 3
while 4
who 3
will 3
williamsburg 1
willing 1
wish 1
wishes 1
with 5
wont 2
words 1
work 1
world 2
wrath 1
years 4
yeshiva 1
york 1
you 3
young 1
younger 1
