1384243
/m/04y8yc
/m/04y8yc
Geoffrey Chaucer


a 11
able 1
actually 1
admit 1
admits 2
adultery 1
agrees 1
also 3
an 3
and 7
any 1
asks 3
bailiff 2
body 1
bribe 1
but 2
by 1
can 1
capitalizing 1
carter 1
charge 2
charges 1
claiming 1
come 1
concern 1
confession 1
couldnt 1
court 1
criticizes 1
cursing 1
damning 1
damns 1
day 1
debt 1
demands 2
demon 5
do 1
does 2
done 1
even 1
explains 1
extorting 1
false 1
falsely 1
fine 1
for 3
form 1
from 3
frying 1
get 1
give 1
go 1
god 1
he 18
hell 3
her 6
him 2
his 3
horses 3
house 1
how 4
human 1
in 4
incensed 1
is 9
it 1
legitimate 1
makes 1
man 1
meets 1
money 2
move 1
new 1
not 3
nothing 1
obligingly 1
odious 1
of 2
off 1
old 4
on 2
one 1
or 1
overtly 1
paid 1
pan 1
panto 1
payment 1
praises 1
profession 1
rather 1
refuses 1
repent 1
repents 1
says 4
seem 1
she 2
show 1
simply 1
since 1
sincere 1
situation 1
so 1
soulalong 1
spirit 1
spurious 1
stubborn 1
summon 2
summoner 11
take 2
takes 1
taking 1
than 1
that 3
the 22
them 1
then 2
there 1
they 3
this 3
though 1
to 8
underhand 1
unless 1
upon 1
was 1
way 1
what 1
when 2
who 2
widow 1
will 2
with 1
woman 3
works 1
yeoman 4
