3766194
/m/09zvxm
/m/09zvxm
Janet Evanovich
2000-06
a 3
ahead 1
all 2
and 3
as 1
at 2
attempting 1
avoid 1
back 1
begins 1
being 1
bob 1
book 1
bridge 1
by 2
carol 1
cars 1
charges 1
chase 1
comes 1
deal 2
destroyed 1
does 1
dog 2
down 2
eccentric 1
end 1
ended 1
even 1
five 2
followed 1
four 1
friend 1
gains 1
getting 1
grandma 1
has 2
he 1
her 2
high 1
hit 1
in 4
it 2
jailtime 1
joe 1
jumping 1
jumps 1
man 2
mazur 1
meanwhile 1
men 1
months 1
mooner 1
morelli 1
moved 1
must 2
named 1
never 1
not 1
of 1
off 2
or 1
out 2
persuades 1
picked 1
plum 1
point 1
press 1
process 1
proposal 1
ranger 2
reported 1
return 1
revealing 1
she 1
stephanie 7
stoner 1
story 1
take 1
talks 1
the 9
then 1
to 5
top 1
two 1
watch 1
well 1
which 2
while 1
who 2
with 2
works 1
