2099076
/m/06m10l
/m/06m10l
Helen Garner

1 1
a 1
acquainted 1
after 1
already 1
and 11
are 1
as 2
at 2
attempts 1
attending 1
be 2
becomes 4
begins 2
being 1
book 1
both 1
but 1
canberra 1
cinque 4
circumstances 1
complicity 1
concludes 1
consolation 2
could 1
court 1
doing 1
eventually 1
family 3
feels 1
friend 1
garner 2
hearings 1
her 3
his 1
impressions 1
in 4
including 1
informed 1
interested 2
interview 1
interviews 2
is 2
it 1
its 1
joe 2
judge 1
justice 1
lack 1
maria 1
mother 1
mystification 1
negative 1
not 2
of 5
or 2
others 1
plans 1
presiding 1
proceedings 1
progress 1
progresses 1
purpose 1
rao 2
reactions 1
refuse 1
relates 1
repeatedly 1
rights 1
second 1
she 4
shock 1
singh 5
sufficient 1
system 1
that 2
the 9
to 4
trial 5
uncontactable 1
victim 2
visits 1
was 1
when 1
with 2
