12186352
/m/02vtplt
/m/02vtplt
Baroness Emma Orczy
1907
{"/m/0hwxm": "Historical novel"}
a 11
abetted 1
about 2
achieves 1
affected 1
against 1
aided 1
all 3
almost 1
also 1
an 1
and 19
any 1
are 1
aroused 1
as 5
at 3
avoids 1
babyhood 1
background 1
baroness 1
be 3
beautiful 1
become 1
bed 1
before 2
begin 1
belongs 1
betrothed 2
between 2
beyond 1
bindingly 1
black 1
block 1
bound 1
bounds 1
breaking 1
bring 2
bringing 1
business 1
but 5
by 4
can 2
cardinal 3
cardinals 1
career 1
chivalry 1
clearing 1
comes 1
consort 1
convent 1
costs 1
couple 1
de 2
dear 1
death 1
declares 1
deep 1
deeper 1
depicted 1
desclade 1
desire 1
difficult 1
dignity 1
discovers 2
does 1
don 1
duke 2
embodiment 1
eminence 1
emotions 1
england 3
englishman 1
every 1
exceedingly 1
expense 1
fact 1
falling 1
fancy 2
far 2
fascinations 1
fathers 1
favourite 1
feeling 2
fictional 1
fifth 1
first 1
fit 1
for 6
forfeiting 1
forget 1
free 1
freedom 1
from 1
frustrate 1
gained 1
girl 1
glynde 1
go 1
goes 1
gone 1
good 1
goodness 1
guard 1
half 1
has 5
have 2
having 1
he 8
heart 1
her 11
herself 2
him 4
himself 1
his 8
hopelessly 1
idea 2
if 2
ii 1
immediately 1
in 12
indeed 1
independent 1
influenced 1
interest 1
into 1
intricate 1
invariably 1
is 16
it 3
jealously 1
jealousy 1
justice 1
keeping 1
king 1
lady 4
leave 1
left 1
life 2
lovable 1
love 3
lovers 2
loving 1
loyalty 1
manner 1
marquis 1
marriage 3
marry 2
mary 6
marys 2
may 1
measure 1
merely 1
merry 1
mignel 1
more 2
moreno 1
name 1
nearly 1
negotiate 1
never 1
no 2
nobility 1
not 5
notice 1
obdurate 1
of 17
on 1
only 1
orczy 1
order 2
other 1
out 1
own 1
paint 1
part 1
passionately 1
people 1
philip 2
point 1
political 1
portrayed 1
power 1
promise 1
purpose 1
purposely 1
queen 3
queens 1
rage 1
realises 1
reasons 1
remains 1
repelled 1
report 1
repulsive 1
respect 1
results 1
robert 2
ruse 1
same 1
saurez 1
scars 1
seen 1
selfdefence 1
set 1
she 11
should 1
since 1
skein 3
so 5
soon 1
spain 1
spirit 1
sprightly 1
stake 1
still 1
straighten 1
strong 1
stumbling 1
swayed 1
take 1
takes 2
tangle 1
tangled 2
tangling 1
than 2
that 4
the 37
them 1
themselves 1
then 1
they 1
this 1
thrust 1
time 1
to 24
together 1
tool 1
tries 2
under 1
undoubted 1
unknown 1
upon 1
ursula 5
ursulas 2
usually 1
utterly 1
veil 1
very 1
victim 1
victory 1
view 1
virtue 1
way 2
well 1
wessex 6
what 1
wherever 1
which 2
who 1
whom 2
wife 1
will 2
with 5
woman 1
work 1
would 1
young 1
