31662576
/m/0gmc71j
/m/0gmc71j
Malayattoor Ramakrishnan
1966
a 4
about 2
abruptly 1
after 1
among 1
ancestral 1
and 3
as 1
build 1
by 1
changes 1
city 1
domineering 1
event 1
family 1
flood 1
for 1
from 1
grew 1
he 4
him 1
himself 1
his 5
home 1
in 2
is 2
iyers 1
kerala 1
lapse 1
mansion 1
meets 1
memories 1
mind 1
money 1
native 1
novel 1
of 6
on 1
others 1
overwhelms 1
pivotal 1
pressure 1
property 1
protagonist 1
raghu 2
raise 1
reluctantly 1
return 1
selling 2
sets 1
settled 1
several 1
shrewish 1
sisters 1
speaking 1
story 2
tamil 1
tells 1
the 8
this 1
to 3
turns 1
under 1
up 1
verukal 1
village 2
which 1
who 1
whom 1
wife 1
years 1
