3596453
/m/09nv9r
/m/09nv9r
John Sladek
1968
{"/m/05hgj": "Novel"}
160s 1
a 7
adapts 1
after 1
agents 1
alice 5
amidst 1
an 3
and 7
as 1
assumed 1
at 1
baltimore 1
be 1
behind 1
being 1
black 3
blacks 1
blonde 1
book 1
brown 1
by 2
can 1
child 1
civil 1
closed 1
completely 1
corn 1
culture 1
denying 1
discovers 1
disguised 1
dollars 1
doors 1
during 1
eleven 1
embezzle 1
end 1
essence 1
eventually 1
fact 1
father 2
federal 1
fight 1
for 5
former 1
fortune 1
freed 1
from 1
girl 1
goes 1
government 1
hair 1
has 1
he 1
heiress 1
held 2
her 11
herself 1
him 1
himself 1
his 1
house 3
idea 1
immense 1
in 10
instigator 1
intending 1
invisible 1
is 5
kidnapped 1
kidnappers 1
kidnapping 1
knowledge 1
life 2
like 1
little 1
made 1
make 1
manage 1
million 1
misdeed 1
money 1
name 1
near 1
new 1
no 1
norfolk 1
of 7
officers 1
offices 1
old 1
on 1
only 1
out 1
participate 1
period 1
point 1
police 1
prostitution 2
punished 1
raleigh 1
ransom 1
real 1
returns 1
rights 1
searching 1
seeing 1
sequester 1
she 1
skin 1
slowly 1
spend 1
still 1
surprising 1
that 2
the 11
their 1
then 1
they 1
this 1
time 1
to 8
traced 1
trying 1
turns 1
under 1
vague 1
virginia 1
what 1
which 1
while 2
white 1
without 1
woman 1
years 1
young 2
