12864853
/m/02x8hxx
/m/02x8hxx
Robin McKinley
2007
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/0dwly": "Children's literature"}
a 10
across 1
adult 1
against 1
alive 2
all 1
along 1
an 1
and 11
animal 1
are 4
as 4
at 3
baby 1
be 2
been 2
best 1
breached 1
bulk 1
but 4
by 3
can 2
cannot 1
caring 1
child 1
childish 1
climate 1
come 1
comes 1
communicate 1
complicated 2
controversial 1
controversy 1
convince 1
creates 1
creatures 1
dead 1
die 1
director 1
discovered 1
discovers 1
dragon 9
dragonhaven 2
dragonlets 1
dragons 8
due 1
dying 2
each 1
elusive 1
end 1
even 2
everywhere 1
evidence 1
existence 1
exists 1
fact 1
family 1
fatally 1
father 1
first 2
for 5
found 1
friendly 1
friends 1
from 1
goes 1
growing 1
had 1
has 3
having 1
he 3
her 1
hidden 1
his 4
home 1
how 1
however 1
human 1
humans 1
illegal 1
in 5
injured 1
intelligent 1
involves 1
is 6
it 3
jake 7
keeping 1
killed 2
learn 1
leave 1
life 3
lives 1
make 1
makes 1
maturation 1
matures 2
mendoza 1
mind 1
more 1
mother 1
national 2
nature 1
novel 1
of 9
one 1
orphaned 1
other 3
out 1
overnight 1
own 1
owner 1
park 3
peace 1
peaceful 1
poacher 3
political 1
preservation 2
preserve 2
process 1
proving 1
raises 1
rangers 1
really 1
relationship 1
remain 1
responsibilities 1
save 1
saved 1
security 1
set 1
slowly 1
smokehill 2
solo 1
species 1
still 1
story 2
study 1
style 2
takes 1
that 7
the 29
their 4
them 1
themselves 1
they 1
this 1
those 1
to 6
tough 1
trying 1
two 1
very 1
want 1
what 1
which 1
who 2
wild 1
wildlife 2
will 1
wish 1
with 5
writing 1
written 1
young 3
