16995823
/m/0414ywq
/m/0414ywq
Allen Steele
2006-09-06
a 3
about 2
acting 1
alist 1
and 7
anna 3
at 1
back 2
been 2
ben 1
best 1
book 1
brains 1
but 1
byebye 1
caine 1
cammie 1
caps 1
car 1
care 1
cheer 1
close 1
considerable 1
could 1
couple 1
creative 1
crew 1
cross 1
cyn 1
death 1
designer 1
despite 1
distant 1
driving 1
eduardo 1
eduardoless 1
ever 1
father 2
festivities 1
find 1
for 2
friend 1
from 1
get 1
good 1
gowns 1
graduation 2
has 2
heartbroken 1
help 1
her 7
high 1
hits 1
hopefully 1
hot 1
illicit 1
in 1
infamous 1
intern 1
is 4
it 1
kiss 1
lavish 1
less 1
let 1
manning 1
maybe 1
means 2
mood 1
mother 1
mystery 1
new 2
not 3
nothing 1
of 2
on 1
out 2
parker 1
parties 1
party 1
partying 1
pregraduation 1
sam 3
saying 1
school 1
she 5
since 1
so 1
starts 1
stop 1
stops 1
street 1
talking 1
tattooed 1
that 1
the 7
time 1
to 7
truth 1
unraveling 1
up 1
use 1
when 1
while 1
will 3
winning 1
with 2
woman 1
worried 1
yacht 2
york 1
