17598521
/m/0465p1v
/m/0465p1v
Elise Primavera
2006-09-26
{"/m/0dwly": "Children's literature"}
3 1
5 3
7 4
a 59
abandons 1
abiding 1
about 6
abuzz 1
academy 1
academybecause 1
accepts 2
accidental 1
across 3
actual 2
actually 1
additional 1
afraid 1
after 14
again 8
agree 3
agrees 1
all 13
alone 1
along 2
already 1
also 7
ambiguous 1
an 6
and 124
anger 2
ankles 1
answer 1
any 2
apologizes 1
appears 1
appropriately 1
are 10
argument 2
arm 3
arriving 1
article 1
as 14
ashamed 1
aside 2
ask 1
asks 7
asleep 1
assistance 1
at 13
attack 1
attempt 1
aunt 8
aunts 1
avoid 1
away 2
back 2
backed 1
backfires 1
backpacks 1
backwards 2
bacon 1
bad 1
balloon 1
bar 1
barely 1
be 11
beat 1
beautified 1
beauty 2
beautyliator 3
because 2
becomes 1
bed 1
been 1
before 4
begins 2
begun 1
behind 4
being 7
believed 1
best 1
better 3
beware 1
binoculars 2
bling 4
blings 2
books 2
boost 1
both 3
braces 1
brings 1
burning 1
but 7
button 1
by 7
c 3
cadillac 1
call 4
called 2
came 1
can 7
candy 1
capable 1
carpe 1
cat 22
catch 1
cats 3
caught 1
cautious 1
ceiling 1
cha 41
champagnecolored 1
changes 1
chas 1
ching 3
chocolate 1
choppy 1
claiming 1
class 4
classes 1
clean 1
clippings 1
close 1
closet 2
clothing 1
clouds 1
club 1
clueless 1
coco 5
cocos 1
color 2
colossal 1
come 3
comes 1
coming 1
companions 1
conclude 2
conjured 1
conjures 1
consider 1
consists 1
consults 3
content 1
conversation 1
cooperate 1
corner 1
cottage 2
could 1
covered 1
coward 1
crash 1
creepy 1
cruelty 1
cry 1
crying 1
curse 1
cut 1
dad 1
daring 1
daughter 1
daughters 2
day 7
days 2
dead 1
deal 1
death 2
decide 1
decided 1
demanding 1
demands 2
demise 1
depressing 1
descendant 1
desert 1
desperate 1
despite 1
diamond 3
diamonds 1
did 1
diem 1
differences 1
directions 1
disappear 1
disappears 1
disaster 1
discards 1
discloses 1
discontent 1
discover 3
discovered 2
discovers 2
disguise 1
dismay 1
dismisses 1
disposing 1
disruption 1
dissipates 1
dives 1
do 1
does 2
doesnt 6
dogs 1
doing 1
dont 1
door 4
doorstep 1
dorothy 1
down 2
dozz 1
dr 1
drain 1
dreaded 1
dumps 1
during 3
each 2
eager 1
eating 1
egg 1
either 3
electrocuted 2
enchanted 1
encounter 1
end 2
ends 4
enemy 1
