32688427
/m/0h3ldsy
/m/0h3ldsy
Merari Siregar
1920
a 11
adat 1
advances 1
advice 1
after 3
agree 1
alone 1
although 1
amiruddin 13
an 1
and 7
another 1
are 1
arranged 1
as 1
at 1
attempts 2
avoid 1
baginda 4
be 3
become 1
becomes 1
been 1
being 1
both 1
brought 1
by 2
cannot 1
causing 1
childhood 1
choose 1
convinces 1
cousin 1
daughter 1
day 1
declaring 1
diatas 4
dies 1
disagrees 1
disappointment 1
disaster 1
discovers 1
disease 1
divorc 1
divorce 1
dukun 1
engaged 2
equally 1
escorts 1
falls 1
family 2
father 1
find 1
finding 1
for 1
formerlyrich 1
friends 1
from 4
get 1
girl 1
goes 1
hands 1
has 2
having 1
he 4
heartbroken 1
her 6
him 1
his 5
if 1
in 3
instead 1
is 3
jealous 1
job 3
kasibun 5
later 1
leader 1
letter 1
love 1
marga 1
mariamin 13
marries 2
marry 4
medan 4
met 2
mothers 1
much 1
not 1
of 2
once 1
one 1
order 1
parents 2
permission 1
police 1
pressured 1
previously 1
promise 1
proposal 1
receives 1
reports 1
respected 1
returning 1
rich 1
says 1
sends 1
sexually 1
should 1
since 1
sipirok 2
siregar 1
son 2
taking 2
tells 1
that 5
the 6
they 1
thrilled 1
to 18
torture 2
transmitted 1
upon 1
village 1
visits 1
wealthier 1
who 1
wife 2
will 1
wishes 2
with 4
woman 1
worse 1
year 1
