7838335
/m/026fs_t
/m/026fs_t
André Franquin
1958
a 8
about 1
acquaintances 1
all 1
alone 1
an 2
and 7
appears 1
are 1
around 1
as 3
assignment 1
at 1
bad 1
before 1
but 1
by 4
cameras 1
car 1
celebrities 1
champignac 2
circus 1
city 3
corto 1
count 3
dos 1
drive 1
du 1
elements 1
encounter 1
encounters 1
ended 1
events 2
everyday 1
exception 1
expose 1
fantasio 3
fiendish 1
for 2
forbidden 1
found 1
from 4
further 1
genial 1
gets 2
ground 1
have 2
having 1
he 1
hiding 1
highly 1
his 1
home 1
however 1
impression 1
in 5
incognito 2
inhabited 1
involving 1
is 2
items 1
juan 1
kidnapping 1
large 1
le 1
leave 1
leaving 1
les 1
mansion 1
manufactured 1
marsupilami 2
mchanique 1
miniature 1
modernized 1
motors 1
moustique 1
mysterious 1
no 1
object 1
of 3
old 1
on 1
one 1
order 1
orejas 1
out 1
phone 1
photography 1
pipe 1
pirates 1
plot 1
previously 1
quick 2
quicks 1
reach 1
reappear 1
review 1
security 1
sets 1
silence 1
slowly 1
small 1
somehow 1
spirou 2
stolen 1
story 1
strictly 1
such 1
super 1
surprisingly 1
suspicious 1
testdrive 1
testdriven 1
the 10
their 1
them 1
there 1
they 1
this 2
thugs 1
tight 1
to 5
traffic 1
traveled 1
unable 1
unfold 1
unpleasant 1
up 1
voleurs 1
wealthy 1
weekend 1
where 1
with 3
write 2
zabaglione 1
