13866437
/m/03clnx8
/m/03clnx8
Ted Dekker
2005
{"/m/01jfsb": "Thriller", "/m/06n90": "Science Fiction", "/m/05hgj": "Novel", "/m/014dfn": "Speculative fiction", "/m/02n4kr": "Mystery", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction", "/m/0c3351": "Suspense"}
10 1
1000 1
13 1
24 3
5000 1
a 21
able 1
access 1
accompanying 1
after 4
against 1
agrees 1
aid 1
airforce 1
albino 1
albinos 3
all 6
allowed 1
allowing 1
allows 1
along 1
alongside 1
already 1
also 2
america 1
an 6
ancient 1
and 51
angry 1
announces 1
another 1
antivirus 2
appeals 1
appears 1
approaching 2
are 5
armies 1
army 1
around 3
arsenal 1
as 11
at 8
attacked 1
attempt 2
avoid 1
away 1
back 1
be 4
beast 1
beaten 1
because 3
been 3
before 5
begin 3
begins 2
being 1
believe 3
believes 1
blair 1
blank 1
blood 7
book 1
books 3
border 1
born 1
breathed 1
bride 2
british 1
brothers 1
bursts 1
but 6
by 12
cain 1
calling 1
campfire 1
can 1
cannot 1
captive 1
capture 2
carlos 2
carving 1
chance 1
channel 1
check 1
chelise 19
ciphus 1
circle 8
commander 1
completely 1
concludes 1
constructed 1
contact 1
convincing 1
council 1
cover 1
crest 1
cure 1
daughter 1
days 2
dc 1
death 3
decide 1
decides 2
deemed 1
deeply 1
defeating 1
depths 1
desert 6
deserts 1
desertthough 1
desire 1
destroying 1
dig 1
disciple 1
disease 1
diseased 1
dismounst 1
do 1
does 7
doesnt 1
done 1
door 2
down 1
dreams 1
drown 3
drowned 2
drowning 4
drowns 1
dubbed 1
dune 2
dungeon 1
during 1
dying 1
earlier 1
earth 1
effect 1
effectively 1
effort 2
elyon 7
elyons 1
embrace 1
embraces 2
emptied 1
end 1
eradicates 1
escape 1
even 1
event 1
events 2
eventually 2
ever 1
evident 1
exchange 1
exclaims 1
executing 1
execution 2
experienced 1
experiences 1
face 2
fact 3
fall 1
falling 1
familiar 1
family 1
fashion 2
father 2
feasible 1
feelings 1
few 2
finally 1
find 1
fire 1
first 2
fit 1
fleet 2
flowing 1
follow 2
followed 1
for 13
forbidden 1
forests 4
formed 1
fortier 1
free 1
french 1
from 3
full 1
gave 1
general 1
genetrix 1
get 2
gift 1
go 1
goes 1
gone 1
grabs 1
grasping 1
great 1
greeted 1
group 1
groups 1
guard 1
had 3
hands 1
happening 1
has 7
have 4
having 2
he 28
heard 1
hearing 2
heart 2
help 1
her 15
herself 1
high 1
highranking 1
him 8
himself 5
his 23
historical 1
histories 2
history 1
hope 1
horde 9
horse 2
horseback 1
how 1
however 2
hunter 1
immune 1
imprisoned 3
in 43
incapable 1
infected 1
inform 2
informs 1
instantly 1
instead 1
instructing 1
into 2
invasion 1
is 24
israeli 1
it 12
its 1
jamous 2
johan 5
johanformerly 1
join 2
just 1
justin 6
kara 2
kidnapped 1
killing 1
knocks 1
knowing 2
labs 1
lake 4
larger 1
last 1
lastditch 1
lead 1
leader 1
leading 1
learn 1
leave 2
led 2
left 1
library 1
life 2
lions 1
list 1
loud 1
love 8
loves 1
lovingly 1
mad 1
made 1
making 1
marriageas 1
martyn 1
mass 1
massive 1
meetingcomposed 1
meets 2
members 2
met 1
mikil 5
moment 3
monique 3
months 2
more 2
motion 1
mounts 1
much 1
my 1
name 1
naval 1
nearly 2
need 1
never 1
new 1
newly 1
night 1
nimitz 1
not 6
notion 1
now 1
nuclear 1
oasis 2
of 36
offer 1
offers 1
officials 1
on 7
one 1
only 4
or 1
orchestrates 1
order 1
ordered 1
other 4
others 4
out 6
over 3
overcome 1
own 1
pain 1
pandemic 1
passage 1
passionate 1
patricia 1
people 1
perfect 2
pints 1
planning 1
plans 1
pleads 2
pool 1
pools 2
portion 1
preparing 1
presenting 1
president 1
prisoner 1
prisoners 1
prize 1
problem 1
procedure 1
proceeds 1
process 1
professing 1
progress 1
punishment 1
pursuit 3
question 1
qurong 7
rachelle 2
rage 1
reach 1
read 1
reading 1
reality 2
realizes 1
realizing 1
really 1
reawakens 2
receive 1
reception 1
red 8
release 1
releasing 1
reluctantly 2
remains 1
renounce 1
request 1
resides 1
resist 1
responsible 1
return 1
returns 3
ride 1
rider 1
rides 3
riding 1
rises 1
risk 2
roles 1
ronin 1
roshuim 2
roughly 1
royalty 1
rumble 1
run 1
rushes 1
sacrifice 2
safe 1
same 3
sand 2
satisfaction 1
saying 1
scab 2
scabs 2
searching 1
see 1
